Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_alternative_id,has_exact_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,part_of
http://purl.obolibrary.org/obo/SYMP_0000282,fixed dilated pupils,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000254,,,,,,symptoms,,,,,,,,,,,SYMP:0000282,,,fixed dilated pupils,,SYMP:0000282,
http://purl.obolibrary.org/obo/SYMP_0000025,dry cough,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000614,,,,,,symptoms,,,,,,,,,,,SYMP:0000025,,,dry cough,,SYMP:0000025,
http://purl.obolibrary.org/obo/SYMP_0000008,blindness,,doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000320,,,,,,symptoms,,,,,,,,,,,SYMP:0000008,,doid/symp duplicate,blindness,,SYMP:0000008,
http://purl.obolibrary.org/obo/SYMP_0000719,memory impairment,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000410,,,,,,symptoms,,,,,,,,,,,SYMP:0000719,,,memory impairment,,SYMP:0000719,
http://purl.obolibrary.org/obo/SYMP_0000829,neck pain,,"Neck pain is a pain characterized by an unpleasant sensation localized in the neck that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual.",false,,,http://purl.obolibrary.org/obo/SYMP_0000099,,"Neck pain is a pain characterized by an unpleasant sensation localized in the neck that usually indicates the body is threatened or damaged. The sensation may be sharp or dull, short-lived or chronic, intermittent or continual.",,,,symptoms,,,,,,,,,,,SYMP:0000829,,,neck pain,,SYMP:0000829,
http://purl.obolibrary.org/obo/SYMP_0000402,cachexia,general physical wasting and malnutrition,"Cachexia is a nutrition, metabolism, and development symptom characterized by a general physical wasting and malnutrition usually associated with chronic disease.",false,,,http://purl.obolibrary.org/obo/SYMP_0000473,,"Cachexia is a nutrition, metabolism, and development symptom characterized by a general physical wasting and malnutrition usually associated with chronic disease.",,general physical wasting and malnutrition,,symptoms,,,,,,,,,,,SYMP:0000402,,,cachexia,,SYMP:0000402,
http://purl.obolibrary.org/obo/SYMP_0000512,male stress incontinence,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000853,SyOID:14997|UMLS_ICD9CM_2005_AUI:A0800441|ICD9CM_2005:788.32|UMLS_CUI:C0302505,,,,,symptoms,,,,,,,,,,,SYMP:0000512,,,male stress incontinence,,SYMP:0000512,
http://purl.obolibrary.org/obo/SYMP_0000622,acute mesenteric lymphadenitis,,,false,,,http://purl.obolibrary.org/obo/SYMP_0019155,,,,,,symptoms,,,,,,,,,,,SYMP:0000622,,,acute mesenteric lymphadenitis,,SYMP:0000622,
http://purl.obolibrary.org/obo/SYMP_0000605,coma,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000482,UMLS_CUI:C0009421|ICD9CM_2005:780.01|UMLS_ICD9CM_2005_AUI:A0041160|SyOID:7292,,,,,symptoms,,,,,,,,,,,SYMP:0000605,,,coma,,SYMP:0000605,
http://purl.obolibrary.org/obo/SYMP_0019167,pustule,,Pustule is a skin and integumentary tissue symptom characterized as a small circumscribed elevation of the skin containing pus and having an inflamed base.,false,,,http://purl.obolibrary.org/obo/SYMP_0000488,,Pustule is a skin and integumentary tissue symptom characterized as a small circumscribed elevation of the skin containing pus and having an inflamed base.,,,,symptoms,,,,,,,,,,,SYMP:0019167,,,pustule,,SYMP:0019167,
http://purl.obolibrary.org/obo/SYMP_0000599,cheyne-stokes respiration,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000598,UMLS_CUI:C0008039|ICD9CM_2005:786.04|UMLS_ICD9CM_2005_AUI:A0400651|SyOID:7240,,,,,symptoms,,,,,,,,,,,SYMP:0000599,,,cheyne-stokes respiration,,SYMP:0000599,
http://purl.obolibrary.org/obo/SYMP_0000489,abnormal bowel sound,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000459,SyOID:13326|UMLS_CUI:C0159060|UMLS_ICD9CM_2005_AUI:A0284234|ICD9CM_2005:787.5,,,,,symptoms,,,,,,,,,,,SYMP:0000489,,,abnormal bowel sound,,SYMP:0000489,
http://purl.obolibrary.org/obo/SYMP_0000365,prostatic abscess,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000364,,,,,,symptoms,,,,,,,,,,,SYMP:0000365,,,prostatic abscess,,SYMP:0000365,
http://purl.obolibrary.org/obo/SYMP_0000272,myoclonic seizure,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000267,,,,,,symptoms,,,,,,,,,,,SYMP:0000272,,,myoclonic seizure,,SYMP:0000272,
http://purl.obolibrary.org/obo/SYMP_0000382,staggering gait,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000891,,,,,,symptoms,,,,,,,,,,,SYMP:0000382,,,staggering gait,,SYMP:0000382,
http://purl.obolibrary.org/obo/SYMP_0000255,diminished gastro-intestinal motility,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000459,,,,,,symptoms,,,,,,,,,,,SYMP:0000255,,,diminished gastro-intestinal motility,,SYMP:0000255,
http://purl.obolibrary.org/obo/SYMP_0000742,gum bleeding,gingival hemorrhage,Gum bleeding is a mouth symptom characterized by a copious discharge of blood from the blood vessels of the mucosal tissue that lies over the alveolar bone.,false,,,http://purl.obolibrary.org/obo/SYMP_0000655,,Gum bleeding is a mouth symptom characterized by a copious discharge of blood from the blood vessels of the mucosal tissue that lies over the alveolar bone.,,gingival hemorrhage,,symptoms,,,,,,,,,,,SYMP:0000742,,,gum bleeding,,SYMP:0000742,
http://purl.obolibrary.org/obo/SYMP_0000852,anuria,,Anuria is a urinary system symptom characterized by the absence of or defective urine excretion.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000486,UMLS_ICD9CM_2005_AUI:A0243854|UMLS_CUI:C0028962|ICD9CM_2005:788.5,Anuria is a urinary system symptom characterized by the absence of or defective urine excretion.,,,,symptoms,,,,,,,,,,,SYMP:0000852,,doid/symp duplicate,anuria,,SYMP:0000852,
http://purl.obolibrary.org/obo/SYMP_0000497,periumbilic abdominal tenderness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000484,UMLS_CUI:C0375573|SyOID:13992|UMLS_ICD9CM_2005_AUI:A0637158|ICD9CM_2005:789.65,,,,,symptoms,,,,,,,,,,,SYMP:0000497,,,periumbilic abdominal tenderness,,SYMP:0000497,
http://purl.obolibrary.org/obo/SYMP_0000180,liver symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000459,,,,,,symptoms,,,,,,,,,,,SYMP:0000180,,,liver symptom,,SYMP:0000180,
http://purl.obolibrary.org/obo/SYMP_0000163,ulcerative dermal vesicles,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000163,,,ulcerative dermal vesicles,true,SYMP:0000163,
http://purl.obolibrary.org/obo/SYMP_0000016,confusion,,"Confusion is a neurological and physiological symptom characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.",false,,,http://purl.obolibrary.org/obo/SYMP_0000410,,"Confusion is a neurological and physiological symptom characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.",,,,symptoms,,,,,,,,,,,SYMP:0000016,,,confusion,,SYMP:0000016,
http://purl.obolibrary.org/obo/SYMP_0000503,adult failure to thrive,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000473,UMLS_CUI:C1268580|UMLS_ICD9CM_2005_AUI:A1892736|ICD9CM_2005:783.7|SyOID:14553,,,,,symptoms,,,,,,,,,,,SYMP:0000503,,,adult failure to thrive,,SYMP:0000503,
http://purl.obolibrary.org/obo/SYMP_0000699,deltoid muscle weakness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000094,,,,,,symptoms,,,,,,,,,,,SYMP:0000699,,,deltoid muscle weakness,,SYMP:0000699,
http://purl.obolibrary.org/obo/SYMP_0000479,abnormality of gait,,Abnormality of gait is a nervous system and musculoskeletal system symptom characterized by a difficulty in the manner of walking or moving on foot.,false,,,http://purl.obolibrary.org/obo/SYMP_0000891,SyOID:12619|ICD9CM_2005:781.2|UMLS_ICD9CM_2005_AUI:A0243767|UMLS_CUI:C0575081,Abnormality of gait is a nervous system and musculoskeletal system symptom characterized by a difficulty in the manner of walking or moving on foot.,,,,symptoms,,,,,,,,,,,SYMP:0000479,,,abnormality of gait,,SYMP:0000479,
http://purl.obolibrary.org/obo/SYMP_0000589,slowing of urinary stream,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000573,UMLS_ICD9CM_2005_AUI:A0459374|SyOID:6196|UMLS_CUI:C0232854|ICD9CM_2005:788.62,,,,,symptoms,,,,,,,,,,,SYMP:0000589,,,slowing of urinary stream,,SYMP:0000589,
http://purl.obolibrary.org/obo/SYMP_0019148,septicemia,,,false,,,http://purl.obolibrary.org/obo/SYMP_0019139,,,,,,symptoms,,,,,,,,,,,SYMP:0019148,,,septicemia,,SYMP:0019148,
http://purl.obolibrary.org/obo/SYMP_0019163,eye symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000387,,,,,,symptoms,,,,,,,,,,,SYMP:0019163,,,eye symptom,,SYMP:0019163,
http://purl.obolibrary.org/obo/SYMP_0019180,constipation,,Constipation is a feces and droppings symptom involving the abnormally delayed or infrequent passage of dry hardened feces.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000146,,Constipation is a feces and droppings symptom involving the abnormally delayed or infrequent passage of dry hardened feces.,,,,symptoms,,,,,,,,,,,SYMP:0019180,,doid/symp duplicate,constipation,,SYMP:0019180,
http://purl.obolibrary.org/obo/SYMP_0000356,phlebitis,inflammation of a vein,doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000528,,,,inflammation of a vein,,symptoms,,,,,,,,,,,SYMP:0000356,,doid/symp duplicate,phlebitis,,SYMP:0000356,
http://purl.obolibrary.org/obo/SYMP_0000373,salivation,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000205,,,,,,symptoms,,,,,,,,,,,SYMP:0000373,,,salivation,,SYMP:0000373,
http://purl.obolibrary.org/obo/SYMP_0000136,skin ulcer,,"Skin ulcer is a skin lesion characterized as a break in skin with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus.",false,,,http://purl.obolibrary.org/obo/SYMP_0000092,,"Skin ulcer is a skin lesion characterized as a break in skin with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus.",,,,symptoms,,,,,,,,,,,SYMP:0000136,,,skin ulcer,,SYMP:0000136,
http://purl.obolibrary.org/obo/SYMP_0000153,vasculitis,,doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0019139,,,,,,symptoms,,,,,,,,,,,SYMP:0000153,,doid/symp duplicate,vasculitis,,SYMP:0000153,
http://purl.obolibrary.org/obo/SYMP_0000263,epididymitis,inflammation of the epididymis,Epididymitis is a reproductive system symptom characterized by an inflammation of the epididymis.|doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000196,,Epididymitis is a reproductive system symptom characterized by an inflammation of the epididymis.,,inflammation of the epididymis,,symptoms,,,,,,,,,,,SYMP:0000263,,doid/symp duplicate,epididymitis,,SYMP:0000263,
http://purl.obolibrary.org/obo/SYMP_0000246,increased appetite,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000244,,,,,,symptoms,,,,,,,,,,,SYMP:0000246,,,increased appetite,,SYMP:0000246,
http://purl.obolibrary.org/obo/SYMP_0000006,backache,back pain,Backache is a pain occurring in the lower back.,false,,,http://purl.obolibrary.org/obo/SYMP_0000099,,Backache is a pain occurring in the lower back.,,back pain,,symptoms,,,,,,,,,,,SYMP:0000006,,,backache,,SYMP:0000006,
http://purl.obolibrary.org/obo/SYMP_0000750,hemorrhage into mucous membrane,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000488,,,,,,symptoms,,,,,,,,,,,SYMP:0000750,,,hemorrhage into mucous membrane,,SYMP:0000750,
http://purl.obolibrary.org/obo/SYMP_0000733,sternocleidomastoid weakness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000094,,,,,,symptoms,,,,,,,,,,,SYMP:0000733,,,sternocleidomastoid weakness,,SYMP:0000733,
http://purl.obolibrary.org/obo/SYMP_0000843,functional hyperemia,,Functional hyperemia is a hyperemia occuring due to an increase in blood flow to a tissue due to the presence of metabolites and a change in general conditions.,false,,,http://purl.obolibrary.org/obo/SYMP_0000299,,Functional hyperemia is a hyperemia occuring due to an increase in blood flow to a tissue due to the presence of metabolites and a change in general conditions.,,,,symptoms,,,,,,,,,,,SYMP:0000843,,,functional hyperemia,,SYMP:0000843,
http://purl.obolibrary.org/obo/SYMP_0000860,postural instability hypokinesia,,Postural instability hypokinesia is a hypokinesia described as a loss of ability to maintain an upright posture.,false,,,http://purl.obolibrary.org/obo/SYMP_0000858,,Postural instability hypokinesia is a hypokinesia described as a loss of ability to maintain an upright posture.,,,,symptoms,,,,,,,,,,,SYMP:0000860,,,postural instability hypokinesia,,SYMP:0000860,
http://purl.obolibrary.org/obo/SYMP_0000603,tachypnea,,Tachypnea is a respiratory abnormality characterized by an increased rate of respiration.,false,,,http://purl.obolibrary.org/obo/SYMP_0000598,ICD9CM_2005:786.06|UMLS_CUI:C0231835|SyOID:7246|UMLS_ICD9CM_2005_AUI:A0465027,Tachypnea is a respiratory abnormality characterized by an increased rate of respiration.,,,,symptoms,,,,,,,,,,,SYMP:0000603,,,tachypnea,,SYMP:0000603,
http://purl.obolibrary.org/obo/SYMP_0019181,hoarseness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000385,,,,,,symptoms,,,,,,,,,,,SYMP:0019181,,,hoarseness,,SYMP:0019181,
http://purl.obolibrary.org/obo/SYMP_0000173,vesicular lesions on lip border,cold sore,,true,,,,,,,cold sore,,symptoms,,,,,,,,,,,SYMP:0000173,,,vesicular lesions on lip border,true,SYMP:0000173,
http://purl.obolibrary.org/obo/SYMP_0000283,facial paralysis,,doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000030,,,,,,symptoms,,,,,,,,,,,SYMP:0000283,,doid/symp duplicate,facial paralysis,,SYMP:0000283,
http://purl.obolibrary.org/obo/SYMP_0000393,tinnitus,sensation of noise,,false,,,http://purl.obolibrary.org/obo/SYMP_0000392,,,,sensation of noise,,symptoms,,,,,,,,,,,SYMP:0000393,,,tinnitus,,SYMP:0000393,
http://purl.obolibrary.org/obo/SYMP_0000190,wheelbarrowing,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000189,,,,,,symptoms,,,,,,,,,,,SYMP:0000190,,,wheelbarrowing,,SYMP:0000190,
http://purl.obolibrary.org/obo/SYMP_0000770,pelvic symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000461,,,,,,symptoms,,,,,,,,,,,SYMP:0000770,,,pelvic symptom,,SYMP:0000770,
http://purl.obolibrary.org/obo/SYMP_0000880,prolonged fever,,Prolonged fever is a fever that persists over a prolonged period of time.,false,,,http://purl.obolibrary.org/obo/SYMP_0000613,,Prolonged fever is a fever that persists over a prolonged period of time.,,,,symptoms,,,,,,,lschriml,2010-10-15T11:28:26Z,,,SYMP:0000880,,,prolonged fever,,SYMP:0000880,
http://purl.obolibrary.org/obo/SYMP_0000737,respiratory tract mucosa ulcer,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000514,,,,,,symptoms,,,,,,,,,,,SYMP:0000737,,,respiratory tract mucosa ulcer,,SYMP:0000737,
http://purl.obolibrary.org/obo/SYMP_0000847,spastic paralysis,,Spastic paralysis is a paralysis characterized by tonic spasm of the affected muscles and with increased tendon reflexes.,false,,,http://purl.obolibrary.org/obo/SYMP_0000030,,Spastic paralysis is a paralysis characterized by tonic spasm of the affected muscles and with increased tendon reflexes.,,,,symptoms,,,,,,,,,,,SYMP:0000847,,,spastic paralysis,,SYMP:0000847,
http://purl.obolibrary.org/obo/SYMP_0000043,hemorrhagic meningitis,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000043,,,hemorrhagic meningitis,true,SYMP:0000043,
http://purl.obolibrary.org/obo/SYMP_0000026,obsolete epidermal proliferation,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000026,,,obsolete epidermal proliferation,true,SYMP:0000026,
http://purl.obolibrary.org/obo/SYMP_0000530,palpitation,abnormal heart beats,"Palpitation is a cardiovascykar system symptom characterized by an abnormal awareness of the beating of the heart,whether it is too slow, too fast, irregular, or at its normal frequency when excited by violent exertion, strong emotion, or disease.",false,,,http://purl.obolibrary.org/obo/SYMP_0000528,SyOID:16497|UMLS_ICD9CM_2005_AUI:A0004066|ICD9CM_2005:785.1|UMLS_CUI:C0030252,"Palpitation is a cardiovascykar system symptom characterized by an abnormal awareness of the beating of the heart,whether it is too slow, too fast, irregular, or at its normal frequency when excited by violent exertion, strong emotion, or disease.",,abnormal heart beats,,symptoms,,,,,,,,,,,SYMP:0000530,,,palpitation,,SYMP:0000530,
http://purl.obolibrary.org/obo/SYMP_0000640,ankle rash,redness of ankle,,false,,,http://purl.obolibrary.org/obo/SYMP_0000487,,,,redness of ankle,,symptoms,,,,,,,,,,,SYMP:0000640,,,ankle rash,,SYMP:0000640,
http://purl.obolibrary.org/obo/SYMP_0000513,stridor,,Stridor is a respiratory system and chest symptom characterized by a harsh vibrating sound heard during respiration in cases of obstruction of the air passages.,false,,,http://purl.obolibrary.org/obo/SYMP_0000514,SyOID:15070|ICD9CM_2005:786.1|UMLS_ICD9CM_2005_AUI:A0120146|UMLS_CUI:C0038450,Stridor is a respiratory system and chest symptom characterized by a harsh vibrating sound heard during respiration in cases of obstruction of the air passages.,,,,symptoms,,,,,,,,,,,SYMP:0000513,,,stridor,,SYMP:0000513,
http://purl.obolibrary.org/obo/SYMP_0000623,acute renal failure,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000731,,,,,,symptoms,,,,,,,,,,,SYMP:0000623,,,acute renal failure,,SYMP:0000623,
http://purl.obolibrary.org/obo/SYMP_0000420,bloating,,Bloating is a digestive system symptom involving the accumulation of gas in the digestive tract and resulting in abdominal distension.,false,,,http://purl.obolibrary.org/obo/SYMP_0000459,,Bloating is a digestive system symptom involving the accumulation of gas in the digestive tract and resulting in abdominal distension.,,,,symptoms,,,,,,,,,,,SYMP:0000420,,,bloating,,SYMP:0000420,
http://purl.obolibrary.org/obo/SYMP_0000403,weight gain,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000473,,,,,,symptoms,,,,,,,,,,,SYMP:0000403,,,weight gain,,SYMP:0000403,
http://purl.obolibrary.org/obo/SYMP_0000392,ear symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000387,,,,,,symptoms,,,,,,,,,,,SYMP:0000392,,,ear symptom,,SYMP:0000392,
http://purl.obolibrary.org/obo/SYMP_0019168,pneumonia,,"Pneumonia is a pneumonitis characterized as an inflammatory illness of the lung resulting from a variety of causes including infection with bacteria, viruses, fungi, or parasites, and chemical or physical injury to the lungs. Its cause may also be officially described as idiopathic, that is, unknown, when infectious causes have been excluded.|doid/symp duplicate",false,,,http://purl.obolibrary.org/obo/SYMP_0000354,,"Pneumonia is a pneumonitis characterized as an inflammatory illness of the lung resulting from a variety of causes including infection with bacteria, viruses, fungi, or parasites, and chemical or physical injury to the lungs. Its cause may also be officially described as idiopathic, that is, unknown, when infectious causes have been excluded.",,,,symptoms,,,,,,,,,,,SYMP:0019168,,doid/symp duplicate,pneumonia,,SYMP:0019168,
http://purl.obolibrary.org/obo/SYMP_0019185,communication difficulty,,"A behavioral symptom that is characterized by speech, language and communication needs or communication disabilities.",false,,,http://purl.obolibrary.org/obo/SYMP_0019182,,"A behavioral symptom that is characterized by speech, language and communication needs or communication disabilities.",,,,,,SYMP:0019185,,,,,,,,,,,,communication difficulty,,,
http://purl.obolibrary.org/obo/SYMP_0000017,crinkle,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000488,,,,,,symptoms,,,,,,,,,,,SYMP:0000017,,,crinkle,,SYMP:0000017,
http://purl.obolibrary.org/obo/SYMP_0000034,fluid in pericardial sac,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000034,,,fluid in pericardial sac,true,SYMP:0000034,
http://purl.obolibrary.org/obo/SYMP_0000411,infant symptom,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000567,,,,,,symptoms,,,,,,,,,,,SYMP:0000411,,,infant symptom,,SYMP:0000411,
http://purl.obolibrary.org/obo/SYMP_0000504,headache,cephalalgia,Headache is a pain characterized by a pain in the head.,false,,,http://purl.obolibrary.org/obo/SYMP_0000099,UMLS_CUI:C0018681|ICD9CM_2005:784.0|SyOID:14723|UMLS_ICD9CM_2005_AUI:A0065994,Headache is a pain characterized by a pain in the head.,,cephalalgia,,symptoms,,,,,,,,,,,SYMP:0000504,,,headache,,SYMP:0000504,
http://purl.obolibrary.org/obo/SYMP_0000521,enlargement of lymph nodes,swelling of lymph nodes|swollen lymph glands,,false,,,http://purl.obolibrary.org/obo/SYMP_0019141,UMLS_CUI:C0497156|SyOID:15517|UMLS_ICD9CM_2005_AUI:A0243823|ICD9CM_2005:785.6,,,swelling of lymph nodes|swollen lymph glands,,symptoms,,,,,,,,,,,SYMP:0000521,,,enlargement of lymph nodes,,SYMP:0000521,
http://purl.obolibrary.org/obo/SYMP_0000631,hemolytic anemia,,doid/symp duplicate,false,,,http://purl.obolibrary.org/obo/SYMP_0000208,,,,,,symptoms,,,,,,,,,,,SYMP:0000631,,doid/symp duplicate,hemolytic anemia,,SYMP:0000631,
http://purl.obolibrary.org/obo/SYMP_0000273,clonic seizure,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000267,,,,,,symptoms,,,,,,,,,,,SYMP:0000273,,,clonic seizure,,SYMP:0000273,
http://purl.obolibrary.org/obo/SYMP_0000383,stiff neck,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000384,,,,,,symptoms,,,,,,,,,,,SYMP:0000383,,,stiff neck,,SYMP:0000383,
