head_id,head_name,relation,tail_id,tail_name
D006493,heparin,CID,D013927,HITT
D006493,heparin,CID,D013921,HITT
D002996,clomiphene,CID,D012170,retinal vein occlusion
D002996,clomiphene,CID,D014786,audiovisual toxicity
D009538,AN,CID,D009759,nystagmus
D004872,vitamin D2,CID,D006471,gastric hemorrhagic
D004872,vitamin D2,CID,D050197,atherosclerotic
D002784,cholesterol,CID,D006471,gastric hemorrhagic
D002784,cholesterol,CID,D014456,ulcers
D002784,cholesterol,CID,D050197,atherosclerotic
D004872,vitamin D2,CID,D014456,ulcers
D004317,adriamycin,CID,D006333,heart failure
D014635,valproic acid,CID,D003221,Confusion
D018817,MDMA,CID,D008569,impaired immediate free recall
D018817,MDMA,CID,D007859,impairment of learning
C031942,argatroban,CID,D016063,intraoperative bleeding
C031942,argatroban,CID,D019106,postoperative bleeding
D000995,Antituberculosis,CID,D017114,acute liver failure
D008727,Methotrexate,CID,D002493,Central nervous system complications
C110904,capecitabine,CID,D060831,hand-foot syndrome
C110904,capecitabine,CID,D013280,stomatitis
C110904,capecitabine,CID,D014839,vomiting
C110904,capecitabine,CID,D003967,diarrhea
C110904,capecitabine,CID,D009325,nausea
D006220,haloperidol,CID,D002375,parkinsonian catalepsy
D008750,alpha-methyldopa,CID,D003866,depression
D009638,norepinephrine,CID,D001919,tachy- or bradycardia
D007099,imipramine,CID,D001480,axonal damage
D013806,theophylline,CID,D002318,sinuatrial disease
D013806,theophylline,CID,D005767,gastrointestinal disorder
D000082,paracetamol,CID,D007681,renal papillary necrosis
D001241,aspirin,CID,D007681,renal papillary necrosis
D008094,lithium,CID,D011141,polyuria
D004317,adriamycin,CID,D006331,impaired heart function
D011224,Prazosin,CID,D014550,stress incontinence
D007548,isosorbide dinitrate,CID,D009203,myocardial infarction
D005473,fluoxetine,CID,D017109,akathisia
D004008,diclofenac sodium,CID,D056486,hepatitis
D003042,cocaine,CID,D002543,cranial hemorrhage
D003042,cocaine,CID,D013345,subarachnoid hemorrhage
D003042,cocaine,CID,D002544,Infarcts in substantia nigra pars reticulata
D005905,Glyburide,CID,D056486,hepatitis
D013874,sodium pentothal,CID,D013035,spasm
D007530,isoflurane,CID,D007022,hyper- or hypotension
D005472,5-fluorouracil,CID,D000799,Angioedema
D000638,amiodarone,CID,D012848,sinoatrial block
D012460,sulphasalazine,CID,D003025,talipes equinovarus
D012460,sulphasalazine,CID,D001017,coarctation of the aorta
D012460,sulphasalazine,CID,D006345,ventricular septal defect
D012460,sulphasalazine,CID,D007690,Potter-type IIa polycystic kidney
D003606,dacarbazine,CID,D006504,Veno-occlusive liver disease
D008787,metoclopramide,CID,D004409,hyper- or dyskinetic
D000638,amiodarone,CID,D006327,intra-Hisian block
D002066,Busulfan,CID,D003556,HC
D002066,Busulfan,CID,D006470,HC
D006221,halothane,CID,D007022,hyper- or hypotension
D002231,carbimazole,CID,D056486,hepatitis
D002231,carbimazole,CID,D002779,cholestasis
D015215,zidovudine,CID,D001855,myelosuppression
D002955,folinic acid,CID,D003221,Confusion
D005472,5-fluorouracil,CID,D003128,coma
D005472,5-fluorouracil,CID,D003221,Confusion
D002955,folinic acid,CID,D003128,coma
D006220,haloperidol,CID,D001480,axonal damage
D002746,chlorpromazine,CID,D001480,axonal damage
D003024,clozapine,CID,D001480,axonal damage
C036006,oxcarbazepine,CID,D001480,axonal damage
D000667,ampicillin,CID,D004892,Erythema multiforme
D000667,ampicillin,CID,D004342,allergic reactions
D000667,ampicillin,CID,D009205,hypersensitivity myocarditis
D000658,amoxicillin,CID,D000707,anaphylaxis
D000658,amoxicillin,CID,D004342,allergic reactions
D000658,amoxicillin,CID,D000799,Angioedema
D001279,atracurium,CID,D010243,paralysis
D014673,vecuronium bromide,CID,D010243,paralysis
D010615,phenacetin,CID,D007676,chronic renal failure
D013311,streptozotocin,CID,D003928,diabetic nephropathy
D003520,cyclophosphamide,CID,D006470,HC
D008094,lithium,CID,D003072,impaired social and emotional judgement processes
C085788,MFL,CID,D006331,impaired heart function
C085788,MFL,CID,D007970,leukopenia
D018021,LiCl,CID,D011141,polyuria
D013390,Suxamethonium,CID,D004342,allergic reactions
D013390,Suxamethonium,CID,D006323,cardiac asystole
D013390,Suxamethonium,CID,D006947,hyperkalemia
D013390,Suxamethonium,CID,D001919,tachy- or bradycardia
D004837,epinephrine,CID,D001281,atrial fibrillation
D008619,mepivacaine,CID,D001281,atrial fibrillation
D008619,mepivacaine,CID,D006973,hyper- or hypotension
D004837,epinephrine,CID,D006973,hyper- or hypotension
D016559,tacrolimus,CID,D005923,focal segmental glomerulosclerosis
C098725,S-(-)-ET-126,CID,D000647,amnesia
D012601,scopolamine,CID,D000647,amnesia
D000806,ACE inhibitors,CID,D000799,Angioedema
D001279,atracurium,CID,D012131,respiratory depression
D001279,atracurium,CID,D001919,tachy- or bradycardia
D001279,atracurium,CID,D001049,desaturation
D003276,Oral contraceptives,CID,D054556,venous thromboembolism
D001058,apomorphine,CID,D010554,aggressive behavior
D016651,lithium carbonate,CID,D014549,incontinence
D020280,sertraline,CID,D014549,incontinence
D018490,Serotonergic antidepressants,CID,D014549,incontinence
D017374,paroxetine,CID,D014549,incontinence
C047426,venlafaxine,CID,D014549,incontinence
C023754,tizanidine,CID,D007022,hyper- or hypotension
D017706,lisinopril,CID,D007022,hyper- or hypotension
D003042,cocaine,CID,D058186,acute renal failure
D003042,cocaine,CID,D012640,seizures
D016593,terfenadine,CID,D016171,Torsades de pointes
D020117,cisapride,CID,D016171,Torsades de pointes
C010637,terodiline,CID,D016171,Torsades de pointes
D014750,vincristin,CID,D020258,neurotoxic
D014750,vincristin,CID,D009410,neuronal death
D014750,vincristin,CID,D003711,demyelinating disorder
D011346,prochlorperazine,CID,D017109,akathisia
D010396,D-penicillamine,CID,D000741,aplastic anemia
D009388,neostigmine,CID,D012640,seizures
D009538,AN,CID,D012640,seizures
D002217,carbachol,CID,D012640,seizures
D003907,RD,CID,D007674,nephropathy
D003907,RD,CID,D006973,hyper- or hypotension
D017373,cyproterone acetate,CID,D054556,venous thromboembolism
D004997,ethinyl estradiol,CID,D054556,venous thromboembolism
D008914,minoxidil,CID,D000172,Acromegaly
D016729,leuprolide acetate,CID,D000740,anemia
D005485,flutamide,CID,D000740,anemia
D000666,amphotericin,CID,D006333,heart failure
D000666,amphotericin,CID,D002311,dilated cardiomyopathy
D011803,quinine,CID,D003221,Confusion
D011803,quinine,CID,D003128,coma
D011803,quinine,CID,D012640,seizures
D007531,diisopropylfluorophosphate,CID,D012640,seizures
C032302,rilmenidine,CID,D007022,hyper- or hypotension
D007545,isoprenaline,CID,D009203,myocardial infarction
D020849,raloxifene,CID,D054556,venous thromboembolism
D002443,ceftriaxone,CID,D001660,biliary pseudolithiasis
D007654,ketoconazole,CID,D016171,Torsades de pointes
D007654,ketoconazole,CID,D008133,prolonged QT interval
D003975,diazepam,CID,D000647,amnesia
C030262,triamcinolone diacetate,CID,D011128,Cauda equina syndrome
D002045,bupivacaine,CID,D011128,Cauda equina syndrome
D013739,Testosterone,CID,D050197,atherosclerotic
D020123,sirolimus,CID,D007674,nephropathy
D019821,statin,CID,D009336,necrosis
D019821,statin,CID,D009135,fibrous myopathy
D003000,clonidine,CID,D001919,tachy- or bradycardia
D012906,smoking,CID,D034381,hearing loss
D013726,terbutaline,CID,D001321,autism
D003024,clozapine,CID,D009205,hypersensitivity myocarditis
D000928,antidepressant,CID,D009205,hypersensitivity myocarditis
C026098,levetiracetam,CID,D008569,impaired immediate free recall
D014635,valproic acid,CID,D008569,impaired immediate free recall
D014635,valproic acid,CID,D001927,encephalopathy
C026098,levetiracetam,CID,D001927,encephalopathy
C026098,levetiracetam,CID,D004830,tonic-clonic seizures
D014635,valproic acid,CID,D004830,tonic-clonic seizures
D003042,cocaine,CID,D001008,anxiety
D013792,Thalidomide,CID,D013923,thromboembolic
D003042,cocaine,CID,D011317,priapism
D012254,ribavirin,CID,D009157,Myasthenia gravis
C417083,pegylated interferon,CID,D001763,ptosis on the right upper lid
D012254,ribavirin,CID,D001763,ptosis on the right upper lid
C417083,pegylated interferon,CID,D015835,restricted right eye movement
C417083,pegylated interferon,CID,D009157,Myasthenia gravis
D012254,ribavirin,CID,D015835,restricted right eye movement
C094645,aripiprazole,CID,D002375,parkinsonian catalepsy
C076029,olanzapine,CID,D002375,parkinsonian catalepsy
D016291,dizocilpine maleate,CID,D006948,hyper- or dyskinetic
D000661,amphetamine,CID,D006948,hyper- or dyskinetic
D003024,clozapine,CID,D002375,parkinsonian catalepsy
D005283,fentanyl,CID,D002303,decreased cardiac output
D015742,propofol,CID,D007022,hyper- or hypotension
D015742,propofol,CID,D002303,decreased cardiac output
D010656,Phenylephrine,CID,D002534,reduces frontal lobe oxygenation
D002997,Clomipramine,CID,D008569,impaired immediate free recall
D002997,Clomipramine,CID,D001008,anxiety
D002997,Clomipramine,CID,D060845,hoarding
D003276,Oral contraceptives,CID,D006463,hemolytic uremic syndrome
D004837,epinephrine,CID,D009202,myocardial injury
D013999,timolol,CID,D003866,depression
D007069,ifosfamide,CID,D005198,Fanconi's syndrome
D007069,ifosfamide,CID,D007674,nephropathy
D009538,AN,CID,D006948,hyper- or dyskinetic
D015767,mefloquine,CID,D012893,sleep disturbance
D015767,mefloquine,CID,D011605,psychoses
D015767,mefloquine,CID,D001008,anxiety
D015767,mefloquine,CID,D012640,seizures
D008012,Lidocaine,CID,D010146,pain
D008454,mazindol,CID,D012817,gastrointestinal symptoms
D008454,mazindol,CID,D014987,dry mouth
D008454,mazindol,CID,D001068,decreased appetite
D004176,dipyridamole,CID,D006940,venous congestion
D010431,Pentoxifylline,CID,D007383,intermittent claudication
D007980,L-dopa,CID,D007022,hyper- or hypotension
D012254,ribavirin,CID,D000740,anemia
D004176,dipyridamole,CID,D000787,Angina
D013759,delta 9-tetrahydrocannabinol,CID,D002375,parkinsonian catalepsy
D015760,alfentanil,CID,D009127,muscular rigidity
D002945,Cisplatin,CID,D002318,sinuatrial disease
D005472,5-fluorouracil,CID,D014693,ventricular fibrillation
D005472,5-fluorouracil,CID,D002637,chest pain
D005472,5-fluorouracil,CID,D001281,atrial fibrillation
D002945,Cisplatin,CID,D001281,atrial fibrillation
D005472,5-fluorouracil,CID,D002318,sinuatrial disease
D002945,Cisplatin,CID,D014693,ventricular fibrillation
D002945,Cisplatin,CID,D002637,chest pain
D014700,verapamil,CID,D020258,neurotoxic
D002220,carbamazepine,CID,D020258,neurotoxic
D003676,desferrioxamine,CID,D006316,"abnormal audiograms with deficits mostly in the high frequency range of 4,000 to 8,000 Hz"
D005480,Flurbiprofen,CID,D006261,headache
D005480,Flurbiprofen,CID,D006471,gastric hemorrhagic
D005480,Flurbiprofen,CID,D015746,abdominal pain
C005238,mipafox,CID,D013118,cord damage
D010665,phenylpropanolamine,CID,D001523,behavioral impairment
D010665,phenylpropanolamine,CID,D012640,seizures
D010665,phenylpropanolamine,CID,D002544,Infarcts in substantia nigra pars reticulata
D010665,phenylpropanolamine,CID,D002543,cranial hemorrhage
D001379,azathioprine,CID,D005355,fibrous myopathy
D001379,azathioprine,CID,D002779,cholestasis
D008094,lithium,CID,D004437,Ebstein's anomaly
D004317,adriamycin,CID,D009202,myocardial injury
D002330,BCNU,CID,D031300,retinal vasculitis
D009638,norepinephrine,CID,D006973,hyper- or hypotension
D002927,cimetidine,CID,D003704,dementia
D004054,diethylstilbestrol,CID,D014625,adenocarcinoma of the vagina
D004054,diethylstilbestrol,CID,D018262,clear cell adenocarcinoma
D010634,luminal,CID,D008103,cirrhosis of the liver
D002251,carbon tetrachloride,CID,D008103,cirrhosis of the liver
D010634,luminal,CID,D006529,enlargement of the liver
D008094,lithium,CID,D003919,diabetes insipidus
D000525,alprazolam,CID,D001259,ataxia
D000525,alprazolam,CID,D008569,impaired immediate free recall
D000525,alprazolam,CID,D004775,enuresis
D000525,alprazolam,CID,D003866,depression
D000525,alprazolam,CID,D015431,weight loss
D011692,puromycin aminonucleoside,CID,D006937,hypercholesterolemia
D011692,puromycin aminonucleoside,CID,D034141,hypoalbuminemia
D010646,phentolamine,CID,D004414,penile pain
D000527,prostaglandin E1,CID,D004414,penile pain
D015282,octreotide,CID,D041881,acute cholecystitis
D015282,octreotide,CID,D042882,gallstone
D007980,L-dopa,CID,D004409,hyper- or dyskinetic
D000583,amikacin,CID,D007511,ischemia
D000583,amikacin,CID,D012164,pigmentary retinal deposits
D014700,verapamil,CID,D013611,atrioventricular reentrant tachycardia
C072959,"1-chloro-1,2,2,2-tetrafluoroethane",CID,D008107,hepatic impairment
C067411,"1,1-dichloro-2,2,2-trifluoroethane",CID,D008107,hepatic impairment
D011318,prilocaine,CID,D034381,hearing loss
D002045,bupivacaine,CID,D034381,hearing loss
D002045,bupivacaine,CID,D012678,loss of pinprick sensation
D008614,Pethidine,CID,D012640,seizures
D007052,ibuprofen,CID,D013262,Stevens-Johnson syndromes
D007052,ibuprofen,CID,D002779,cholestasis
D005277,fenfluramines,CID,D006976,primary pulmonary hypertension
D001067,appetite suppressants,CID,D006976,primary pulmonary hypertension
D008691,methadone,CID,D002819,choreoathetosis
D003042,cocaine,CID,D006948,hyper- or dyskinetic
D003042,cocaine,CID,D002819,choreoathetosis
D003042,cocaine,CID,D019964,mood disorder
D013629,tamoxifen,CID,D006461,hemolysis
D013629,tamoxifen,CID,D000743,hemolytic anemia
D009569,NO,CID,D006973,hyper- or hypotension
D007545,isoprenaline,CID,D001919,tachy- or bradycardia
D004294,domperidone,CID,D001919,tachy- or bradycardia
D001971,bromocriptine,CID,D007022,hyper- or hypotension
D007545,isoprenaline,CID,D006332,cardiomegaly
D001971,bromocriptine,CID,D013610,tachy- or bradycardia
D002211,capsaicin,CID,D010146,pain
D016572,cyclosporin,CID,D057049,thrombotic microangiopathy
D016559,tacrolimus,CID,D057049,thrombotic microangiopathy
D019808,Dup 753,CID,D001002,anuria
D000638,amiodarone,CID,D009336,necrosis
D004317,adriamycin,CID,D009336,necrosis
D000082,paracetamol,CID,D009336,necrosis
D000082,paracetamol,CID,D007674,nephropathy
D000638,amiodarone,CID,D008171,lung toxicity
D015283,citalopram,CID,D004409,hyper- or dyskinetic
D009020,morphine,CID,D003248,constipation
D007069,ifosfamide,CID,D009207,myoclonus
D007069,ifosfamide,CID,D001927,encephalopathy
D020888,gamma-vinyl GABA,CID,D005128,visual field defects
D006493,heparin,CID,D006406,hematoma
D008094,lithium,CID,D013226,status epilepticus
D008094,lithium,CID,D001930,hippocampal injury
D010862,pilocarpine,CID,D001930,hippocampal injury
D003024,clozapine,CID,D003693,delirium
D007654,ketoconazole,CID,D004401,dysarthria
D007654,ketoconazole,CID,D018908,weakness
D007654,ketoconazole,CID,D014202,tremor
D007654,ketoconazole,CID,D010243,paralysis
D002211,capsaicin,CID,D002561,vascular dysfunctions
D002211,capsaicin,CID,D006940,venous congestion
D010862,pilocarpine,CID,D012640,seizures
D017963,azithromycin,CID,D009395,interstitial nephritis
D005839,gentamicin,CID,D034381,hearing loss
D008774,methylphenidate,CID,D020293,cerebral vasculitis
D014859,Warfarin,CID,D002543,cranial hemorrhage
D005839,gentamicin,CID,D006261,headache
D008775,methylprednisolone,CID,D020250,"nausea, vomiting"
D008775,methylprednisolone,CID,D006261,headache
D005839,gentamicin,CID,D020250,"nausea, vomiting"
C044834,iodixanol,CID,D007674,nephropathy
D003287,contrast medium,CID,D007674,nephropathy
D007479,iopamidol,CID,D007674,nephropathy
D012601,scopolamine,CID,D003072,impaired social and emotional judgement processes
D014859,Warfarin,CID,D006470,HC
D064704,levofloxacin,CID,D006470,HC
D006514,HBsAg,CID,D006509,hepatitis B virus (HBV) infected
D008694,Methamphetamine,CID,D009422,neuropathy
D015632,MPTP,CID,D009422,neuropathy
D016559,tacrolimus,CID,D020968,brachial neuritis
D010479,pergolide,CID,D001022,aortic regurgitation
D010479,pergolide,CID,D008944,mitral regurgitation
D010208,papaverine,CID,D000160,adverse effect on the proximal eighth nerve
D010208,papaverine,CID,D006319,neurosensorial hearing loss
D019386,alendronate,CID,D058186,acute renal failure
D019386,alendronate,CID,D011507,proteinuria
D004317,adriamycin,CID,D001201,ascites
D004317,adriamycin,CID,D006949,hyperlipidemia
D004317,adriamycin,CID,D011507,proteinuria
D004317,adriamycin,CID,D009404,nephrotic syndrome
D004317,adriamycin,CID,D034141,hypoalbuminemia
D015662,co-trimoxazole,CID,D002780,intrahepatic cholestasis
D010098,oxycodone,CID,D008569,impaired immediate free recall
D010098,oxycodone,CID,D003072,impaired social and emotional judgement processes
D003042,cocaine,CID,D012893,sleep disturbance
C522667,asenapine,CID,D001480,axonal damage
D011692,puromycin aminonucleoside,CID,D009401,nephrosis
C558899,lopinavir/ritonavir,CID,D002311,dilated cardiomyopathy
C558899,lopinavir/ritonavir,CID,D006327,intra-Hisian block
C558899,lopinavir/ritonavir,CID,D001919,tachy- or bradycardia
D010424,pentobarbital,CID,D000647,amnesia
D004054,diethylstilbestrol,CID,D008113,liver tumors
D004054,diethylstilbestrol,CID,D006394,Angiosarcoma
D003907,RD,CID,D015431,weight loss
D018967,risperidone,CID,D010302,parkinsonism
D006220,haloperidol,CID,D010302,parkinsonism
C492458,Simvastatin-ezetimibe,CID,D056486,hepatitis
C492458,Simvastatin-ezetimibe,CID,D017114,acute liver failure
D008694,Methamphetamine,CID,D003731,caries
D013974,Thyroxine,CID,D013971,thyrotoxicosis
D008694,Methamphetamine,CID,D005334,hyperthermia
D004317,adriamycin,CID,D000419,albuminuria
D004317,adriamycin,CID,D009401,nephrosis
D013390,Suxamethonium,CID,D001049,desaturation
D007649,ketamine,CID,D009325,nausea
D007649,ketamine,CID,D014839,vomiting
D007649,ketamine,CID,D001259,ataxia
D008874,midazolam,CID,D000860,hypoxia
D002045,bupivacaine,CID,D012640,seizures
D012642,Selegiline,CID,D007024,orthostatic hypotension
D002216,Captopril,CID,D058186,acute renal failure
D011441,propylthiouracil,CID,D006521,Chronic active hepatitis
D000431,AN,CID,D007022,hyper- or hypotension
D000431,AN,CID,D005483,flushing of the face
D003484,hydrogen cyanamide,CID,D007022,hyper- or hypotension
D000431,AN,CID,D004417,dyspnea
D003484,hydrogen cyanamide,CID,D013610,tachy- or bradycardia
D003484,hydrogen cyanamide,CID,D004417,dyspnea
D000431,AN,CID,D013610,tachy- or bradycardia
D003484,hydrogen cyanamide,CID,D005483,flushing of the face
D003913,d-amphetamine,CID,D006948,hyper- or dyskinetic
D012110,reserpine,CID,D007035,hypothermia
D014299,trimipramine,CID,D006948,hyper- or dyskinetic
D019257,quinpirole,CID,D006948,hyper- or dyskinetic
D011899,Ranitidine,CID,D009395,interstitial nephritis
D000086,Acetazolamide,CID,D007669,renal calculi
D001556,lindane,CID,D000741,aplastic anemia
D001556,lindane,CID,D002493,Central nervous system complications
D013390,Suxamethonium,CID,D014313,masseter spasm
C068820,8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline,CID,D007674,nephropathy
C068820,8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline,CID,D056486,hepatitis
C068820,8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline,CID,D006456,hemoglobinuria
C068820,8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline,CID,D009212,Myoglobinuria
D005665,furosemide,CID,D034381,hearing loss
D007612,kanamycin,CID,D034381,hearing loss
D018170,sumatriptan,CID,D010292,paresthesia
D000420,salbutamol,CID,D014202,tremor
D013792,Thalidomide,CID,D054556,venous thromboembolism
C067311,docetaxel,CID,D054556,venous thromboembolism
D010042,ouabain,CID,D017180,ventricular tachycardia
D002939,ciprofloxacin,CID,D011693,petechiae
D002939,ciprofloxacin,CID,D007565,jaundice
D002939,ciprofloxacin,CID,D013921,HITT
D002939,ciprofloxacin,CID,D000743,hemolytic anemia
D002939,ciprofloxacin,CID,D015746,abdominal pain
D019821,statin,CID,D003161,compartment syndrome
D003613,danazol,CID,D001650,Bile duct hamartoma
D003613,danazol,CID,D006222,hamartoma
