PMID,Sentence,Named-Entity,Label,Result
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,IC87201,CHEMICAL,1
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,allodynia,DISEASE,1
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,2A pain behavior,DISEASE,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,Female sexual arousal disorder,MENTAL_HEALTH,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,estrogen replacement therapy,CHEBI,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,vaginal lubricants,DISEASE,1
7806692,Gepirone is a novel antidepressant that holds promise for the treatment of atypical depression and that may be of heuristic value because of its relatively specific actions on the serotonergic system.,Gepirone,CHEMICAL,1
7806692,Gepirone is a novel antidepressant that holds promise for the treatment of atypical depression and that may be of heuristic value because of its relatively specific actions on the serotonergic system.,novel antidepressant,CHEMICAL,1
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",OUD,DISEASE,1
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",full mu-receptor agonist opioid,CHEBI,1
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",mean morphine equivalent dose,CHEMICAL,1
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",BuNa,CHEMICAL,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",Muscimol,CHEMICAL,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",irritability,DISEASE,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",GABA-a receptor agonist,CHEBI,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",clonidine,CHEMICAL,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",i.p.)-induced aggressive behaviors,DISEASE,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",Pitolisant,CHEMICAL,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",cataplexy,MENTAL_HEALTH,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",excessive daytime sleepiness,MENTAL_HEALTH,1
30755087,Non-medical use of benzodiazepines is rare among patients with anxiety disorders.,benzodiazepines,CHEMICAL,1
30755087,Non-medical use of benzodiazepines is rare among patients with anxiety disorders.,anxiety disorders,MENTAL_HEALTH,1
29438455,"Furthermore, the meta-analysis of prospective studies conducted in 4137 participants indicated that perinatal suboptimal vitamin D concentrations are significantly associated with a higher risk of ADHD in later life (RR: 1.40; 95% CI: 1.09, 1.81; I2 = 0.0%).",perinatal suboptimal vitamin D concentrations,CHEBI,1
29438455,"Furthermore, the meta-analysis of prospective studies conducted in 4137 participants indicated that perinatal suboptimal vitamin D concentrations are significantly associated with a higher risk of ADHD in later life (RR: 1.40; 95% CI: 1.09, 1.81; I2 = 0.0%).",ADHD,MENTAL_HEALTH,1
35025861,"However, due to the synergistic effect between diabetic pathology and neuroinflammation, and the prothrombotic profile in patients with diabetes, whether vitamin D is associated with risk of dementia among patients with diabetes is unclear.",vitamin D,CHEBI,1
35025861,"However, due to the synergistic effect between diabetic pathology and neuroinflammation, and the prothrombotic profile in patients with diabetes, whether vitamin D is associated with risk of dementia among patients with diabetes is unclear.",dementia,MENTAL_HEALTH,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,Haloperidol,CHEMICAL,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,psychiatric disorders,DISEASE,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,used antipsychotic drug,CHEBI,1
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",Li+,CHEMICAL,1
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",K+ sheep,CHEMICAL,1
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",volume-sensitive K+-Cl- COT,CHEMICAL,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",T2DM,DISEASE,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",verapamil treatment,CHEMICAL,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",drug,CHEBI,1
33644980,Heavy alcohol drinking is associated with pancreatitis.,alcohol drinking,CHEMICAL,1
33644980,Heavy alcohol drinking is associated with pancreatitis.,pancreatitis,DISEASE,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,Vitamin E,CHEBI,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,neuronal loss,DISEASE,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,mg/dl ethanol,CHEMICAL,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",Histamine H3 receptors,CHEMICAL,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",non-histamine neurons,CHEMICAL,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",acetylcholine,CHEMICAL,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",norepinephrine,CHEMICAL,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",noradrenaline,CHEMICAL,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",Antimanic treatments,DISEASE,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",genuine mood stabiliser,CHEBI,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",lithium,NUTRITION,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",depression,MENTAL_HEALTH,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",THC,CHEMICAL,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",schizophrenic crises,DISEASE,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",dissociative,DISEASE,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor,DISEASE,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",alcohol,CHEMICAL,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",skin cancer,DISEASE,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor size,DISEASE,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor stages,DISEASE,1
15198914,"It is possible that the most sensitive manifestation of pesticide neurotoxicity is a general malaise lacking in specificity and related to mild cognitive dysfunction, similar to that described for Gulf War syndrome.",pesticide neurotoxicity,CHEMICAL,1
15198914,"It is possible that the most sensitive manifestation of pesticide neurotoxicity is a general malaise lacking in specificity and related to mild cognitive dysfunction, similar to that described for Gulf War syndrome.",mild cognitive dysfunction,DISEASE,1
27445967,"The opposite interplay between peroxisome proliferator-activated receptor gamma (PPAR gamma) and Wnt/beta-catenin signaling has led to the categorization of neurodegenerative diseases (NDs) as either NDs in which PPAR gamma is downregulated while the canonical Wnt/beta-catenin pathway is upregulated [amyotrophic lateral sclerosis (ALS), Parkinson's disease, Huntington's disease, multiple sclerosis, Friedreich's ataxia] or NDs in which PPAR gamma is upregulated while the canonical Wnt/beta-catenin signaling is downregulated (bipolar disorder, schizophrenia, Alzheimer's disease).",PPAR gamma,CHEBI,1
27445967,"The opposite interplay between peroxisome proliferator-activated receptor gamma (PPAR gamma) and Wnt/beta-catenin signaling has led to the categorization of neurodegenerative diseases (NDs) as either NDs in which PPAR gamma is downregulated while the canonical Wnt/beta-catenin pathway is upregulated [amyotrophic lateral sclerosis (ALS), Parkinson's disease, Huntington's disease, multiple sclerosis, Friedreich's ataxia] or NDs in which PPAR gamma is upregulated while the canonical Wnt/beta-catenin signaling is downregulated (bipolar disorder, schizophrenia, Alzheimer's disease).",neurodegenerative diseases,DISEASE,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",Eplerenone,CHEMICAL,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",potassium,CHEMICAL,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",renal retention,DISEASE,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",spironolactone,CHEMICAL,1
27221098,"On admission, gliclazide was initiated due to her hyperglycaemia, which we attributed to maturity onset diabetes of the young.",gliclazide,CHEMICAL,1
27221098,"On admission, gliclazide was initiated due to her hyperglycaemia, which we attributed to maturity onset diabetes of the young.",hyperglycaemia,DISEASE,1
30716372,"The human antimicrobial and immunomodulatory peptide LL-37 is ubiquitously expressed and secreted by epithelial cells of mucosal surfaces including the gastrointestinal tract, the primary absorption site of orally administered drugs and food components.",human antimicrobial peptide,CHEBI,1
30716372,"The human antimicrobial and immunomodulatory peptide LL-37 is ubiquitously expressed and secreted by epithelial cells of mucosal surfaces including the gastrointestinal tract, the primary absorption site of orally administered drugs and food components.",gastrointestinal tract,DISEASE,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",its's endocrine abnormalities,CHEBI,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",endocrine abnormalities,CHEBI,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",endocrine perturbations,CHEBI,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",multiple abnormalities,DISEASE,1
30655633,"For the treatment of Chlamydial prostatitis macrolides were shown to be more effective than fluoroquinolones, whereas no differences were observed in microbiological and clinical efficacy between macrolides and tetracyclines for the treatment of infections caused by intracellular pathogens.",macrolides,CHEMICAL,1
30655633,"For the treatment of Chlamydial prostatitis macrolides were shown to be more effective than fluoroquinolones, whereas no differences were observed in microbiological and clinical efficacy between macrolides and tetracyclines for the treatment of infections caused by intracellular pathogens.",tetracyclines,CHEMICAL,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,drug response,CHEBI,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,substance abuse,MENTAL_HEALTH,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,alcoholism,DISEASE,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,Hyperammonemia,DISEASE,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,pregnenolone,CHEMICAL,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,pregnanolone,CHEMICAL,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,Quinolones,CHEMICAL,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,several infectious diseases,DISEASE,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,urinary tract infections,DISEASE,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,antibacterial agents,CHEBI,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",Fenamidone,CHEMICAL,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",yolk sac edema,DISEASE,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",pericardial edema,DISEASE,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",spinal curvature,DISEASE,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",μM. Fenamidone,CHEMICAL,1
34153313,"The kappa opioid receptor agonist U50,488H produces a dose-dependent relief of this mechanical hypersensitivity, regardless of the cycle phase.","agonist U50,488H",CHEMICAL,1
34153313,"The kappa opioid receptor agonist U50,488H produces a dose-dependent relief of this mechanical hypersensitivity, regardless of the cycle phase.",mechanical hypersensitivity,DISEASE,1
34153313,"The kappa opioid receptor agonist U50,488H produces a dose-dependent relief of this mechanical hypersensitivity, regardless of the cycle phase.","agonist U50,488H",CHEBI,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hypothyroidism,DISEASE,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hepatic encephalopathy,DISEASE,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",liver disease,DISEASE,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hepatic decompensation,DISEASE,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",elevated ammonia level,CHEMICAL,1
32051627,Clozapine is an antipsychotic drug which is used in the treatment of therapy-resistant schizophrenia.,Clozapine,CHEMICAL,1
32051627,Clozapine is an antipsychotic drug which is used in the treatment of therapy-resistant schizophrenia.,antipsychotic drug,CHEBI,1
26491593,Palmitoylethanolamide could be an effective treatment for autism syndrome.,Palmitoylethanolamide,CHEMICAL,1
26491593,Palmitoylethanolamide could be an effective treatment for autism syndrome.,autism syndrome,MENTAL_HEALTH,1
25122509,Alcohol withdrawal is clearly associated with severe anxiety symptoms.,Alcohol withdrawal,CHEMICAL,1
25122509,Alcohol withdrawal is clearly associated with severe anxiety symptoms.,severe anxiety symptoms,MENTAL_HEALTH,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",stearic acid,CHEMICAL,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",body-weight gain,DISEASE,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",Fatty acids,NUTRITION,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",palmitoleic acid,CHEMICAL,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",oleic acid,CHEMICAL,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",linoleic acid,CHEMICAL,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",palmitic acid,CHEMICAL,1
31624248,"In addition, chronic stress increased the expression of VEGF, MMP-2, MMP-7 and MMP-9 in transplanted tumour tissue, and catecholamine hormones enhanced the expression of metastasis-related proteins.",chronic stress,MENTAL_HEALTH,1
31624248,"In addition, chronic stress increased the expression of VEGF, MMP-2, MMP-7 and MMP-9 in transplanted tumour tissue, and catecholamine hormones enhanced the expression of metastasis-related proteins.",tumour tissue,DISEASE,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",METH,CHEMICAL,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",psychiatric symptoms,DISEASE,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",delusions,MENTAL_HEALTH,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",hallucinations,MENTAL_HEALTH,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",long-term cognitive deficits,DISEASE,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",cancer chemotherapeutic drug,CHEBI,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",paclitaxel,CHEMICAL,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",cancer chemotherapeutic drug,DISEASE,1
