PMID,Sentence
11814536,"We measured the following IRS variables in patients with major depression (n=36), somatization syndrome (SSI-8; n=37), major depression and somatization (n=40) and healthy controls (n=37): interleukin-6 (IL-6); interleukin-1-receptor-antagonist (IL-1RA); plasma soluble interleukin-6 receptor (IL-6R); soluble suppressor/cytotoxic antigen (CD8); leukemia inhibitory factor (LIF-R); and Clara cell protein (CC16), an endogenous anticytokine."
34214231,"To evaluate the effects of fish oil (FO), a source of the omega-3 polyunsaturated fatty acids (n-3 PUFA), eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), on emotion-generated corticolimbic functional connectivity in depressed youth at high risk for developing bipolar I disorder."
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.
3311100,"Increasing age, ischaemic heart disease, cardiac failure, preoperative arrhythmias and poor ASA status were all associated with increases in early and long term mortality."
34859395,"The field was born approximately 80 years ago, with the idea that antibodies could be tagged with fluorescent substances and used to detect antigens in cells and microorganisms, and has vertiginously evolved since; these advances have come in all aspects of the methodology, tissue fixation, generation of antibodies, monoclonal antibodies, signal amplification, antigen retrieval, signal amplification, microscopy and have become increasingly sophisticated, from in situ hybridization, in situ proximity ligation assay, flow cytometry, comet assay, to multiplexing and green fluorescent protein reconstitution, yielding Nobel Prizes along the way and generating invaluable scientific and diagnostic advances as well as timeless beautiful images."
30323529,"The purpose of the present paper is to elucidate the details of this study, to examine potential neurobiological mechanisms responsible for the depressogenic effect of opioid analgesics, and to discuss management options that emphasize depression prophylaxis."
15494816,To study the clinical spectrum and endocrine profile of pituitary tumors presenting to a tertiary care endocrine center.
10374130,"Multiple endocrine neoplasia-type 1 (MEN1) is an autosomal dominant familial cancer syndrome characterized by parathyroid hyperplasia, pancreatic endocrine tumours and pituitary adenomas."
10374130,"During follow-up, a growing pituitary adenoma caused acromegaly with elevated serum concentrations of growth hormone, insulin-like growth factor 1 (IGF-1), and prolactin."
10374130,Both hyperprolactinaemia and overproduction of growth hormone and IGF-1 seem to be involved in testicular dysfunction in the present case.
31244693,Background: Deficiencies in membrane polyunsaturated fatty acids (PUFA) such as omega-3 (n-3) fatty acids are thought to contribute to the pathophysiological processes underlying psychotic disorders.
31244693,"Here, we investigated associations of membrane PUFA with clinical symptoms and functioning in a large sample of individuals at ultra-high risk (UHR) for psychosis."
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms."
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms."
31244693,EPA negatively correlated with manic symptoms.
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms."
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms."
31244693,"Conclusions: Partially consistent with a previous study, psychotic symptoms, depressive symptoms, and symptoms of mania were associated with several classes of FAs in the present study."
31244693,These findings support the relevance of membrane fatty acids for the onset of psychotic symptoms and indicate that FAs should be further evaluated as biomarkers in the UHR for psychosis group.
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.
27840857,"According to the Centers for Disease Control and Prevention (CDC), at least 127 people, young and old, are dying every day due to narcotic overdose and alarmingly heroin overdose is on the rise."
27840857,"The Food and Drug Administration (FDA) has approved some Medication-Assisted Treatments (MATs) for alcoholism, opiate and nicotine dependence, but nothing for psychostimulant and cannabis abuse."
27840857,"We review, herein, the history of the development of a glutaminergic-dopaminergic optimization complex called KB220 to provide for the possible eventual balancing of the brain reward system and the induction of ""dopamine homeostasis."" This complex may provide substantial clinical benefit to the victims of Reward Deficiency Syndrome (RDS) and assist in recovery from iatrogenically induced addiction to unwanted opiates/opioids and other addictive behaviors."
2787581,In a previous longitudinal study of Swedish conscripts we have shown strong association between level of cannabis consumption at conscription and development of schizophrenia during 15 years of follow-up.
2787581,Case records for all conscripts residing in Stockholm County who reported consuming cannabis on more than 10 occasions and who subsequently developed schizophrenia (n = 8) were compared with case records of a sample of conscripts who also developed schizophrenia but reported no cannabis consumption at conscription (n = 13).
2787581,The relative risk of schizophrenia among cannabis users in Stockholm County was 4.1 (95% confidence interval 1.8-9.3) compared with nonusers.
2787581,No evidence was found of a significant role for any other narcotic drug in the emergence of schizophrenia among cannabis abusers.
2787581,"A different pattern of mental deterioration was found among cannabis users, with a more abrupt onset of schizophrenic symptoms than nonusers."
2787581,"Although the number of cases in this study was small, the findings support the hypothesis that cannabis does play an aetiological role in schizophrenia."
28973632,"Methyl CpG-binding protein 2 (MeCP2), the mutated protein in Rett syndrome (RTT), is a crucial chromatin-modifying and gene-regulatory protein that has two main isoforms (MeCP2_E1 and MeCP2_ E2) due to the alternative splicing and switching between translation start codons in exons one and two."
28973632,"Functionally, these two isoforms appear to be virtually identical; however, evidence suggests that only MeCP2_E1 is relevant to RTT, including a single RTT missense mutation in exon 1, Ala2Val."
28751857,The human BDNF gene has a single nucleotide polymorphism (SNP)-a methionine (met) substitution for valine (val) at codon 66-that affects BDNF's trafficking and activity-dependent release and results in cognitive dysfunction.
28751857,Humans that are carriers of the met-BDNF allele have subclinical memory deficits and reduced hippocampal volume and activation.
28751857,It is still unclear whether this BDNF SNP affects the clinical outcome of RTT individuals.
28751857,"To evaluate whether this BDNF SNP contributes to RTT pathophysiology, we examined the consequences of expression of either val-BDNF or met-BDNF on dendrite and dendritic spine morphology, and synaptic function in cultured hippocampal neurons from wildtype (WT) and Mecp2 knockout (KO) mice."
34305715,"A sample of 884 female high school students (mean age 16.2 years, age range 14-19) attending three Italian academic-track high schools (social sciences and humanities curriculum) completed self-report measures of alexithymia, school burnout, and TEI."
34305715,High scores for the emotionality and self-control dimensions of TEI were strongly associated with membership of the low alexithymia group; high scores for the emotional exhaustion dimension of school burnout were indicative of membership of the high alexithymia group.
34305715,"These findings suggest crucial focuses for educational intervention: efforts to reduce the risk of emotional exhaustion and school burnout should especially concentrate on enhancing emotional awareness and self-control skills, both strongly associated with low levels of alexithymia."
16677980,An MCAD deficiency and other metabolic disorders lie within the differential diagnosis of a patient presenting with acutely altered mental status.
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2)."
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine."
16199199,"Laboratory findings reveal hyperammonemia, citrullinemia, fatty liver and liver-specific decrease in a urea cycle enzyme, argininosuccinate synthetase (ASS)."
16199199,AGC is also important for gluconeogenesis from lactate.
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.
16199199,"Loss of citrin first cause deficiency of aspartate in the cytosol, which results in an increase in cytosolic NADH/NAD(+) ratio and then activation of fatty acid synthesis pathway to compensate the aberrant ratio."
6415144,"There was evidence of alterations in membrane function due to essential fatty acid deficiency including CNS involvement (blindness, impaired hearing and disorientation) as well as respiratory insufficiency."
23378222,Hypersexuality with compulsive sexual behaviour is a significant source of morbidity for patients with Parkinson's disease receiving dopamine replacement therapies.
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders."
23378222,"These behavioural changes corresponded to significant blood oxygen level-dependent signal changes in regions within limbic, paralimbic, temporal, occipital, somatosensory and prefrontal cortices that correspond to emotional, cognitive, autonomic, visual and motivational processes."
23378222,"These deactivations were not observed when the patients were ON medication, suggesting that dopamine drugs may release inhibition within local neuronal circuits in the cerebral cortex that may contribute to compulsive sexual behaviour."
34527172,"Phytoestrogens are nonestradiol compounds classified as one of the endocrine-disrupting chemicals (EDCs), meaning that they can potentially disrupt hormonal balance and result in developmental and reproductive abnormalities."
34527172,"What is intriguing, although classified as EDCs, phytoestrogens seem to have a beneficial influence on Alzheimer's disease symptoms and neuropathologies."
34527172,This review article is aimed at contributing to the collective understanding of the role of phytoestrogens in the prevention and treatment of Alzheimer's disease.
34527172,"Importantly, it underlines the fact that despite being EDCs, phytoestrogens and their use can be beneficial in the prevention of Alzheimer's disease."
35425788,"Indeed, based on a possible deficit of omega-3 fatty acids (FAs) of patients with ASD and looking for an anti-inflammatory effect, dietary supplements with omega-3 fatty acids have been proposed."
35425788,We aimed to evaluate differences in plasma and erythrocyte FA profiles and plasma cytokines in patients with infantile ASD after supplementation with docosahexaenoic (DHA) and eicosapentaenoic (EPA) acids or placebo and both compared at baseline with a reference healthy group.
35013866,"This double-blind, randomized controlled trial, tested fatty acid (FA) supplementation in children (ages 2- < 6 years) recently diagnosed with Autism Spectrum Disorder (ASD)."
20543026,"The purpose of this tutorial is to provide speech-language pathologists (SLPs) with general information regarding the most commonly prescribed medications for children with autism spectrum disorder (ASD; e.g., central nervous system stimulants, noradrenergic reuptake inhibitors, alpha-2 adrenergic agonists, antipsychotics, anticonvulsants, selective serotonin reuptake inhibitors, benzodiazepines) in regard to their mechanism of action, behaviors treated, and potential side effects."
32201299,"At sub-anaesthetic doses, ketamine, a non competitive N-methyl-d-aspartate (NMDA) receptor antagonist, has demonstrated remarkable and rapid antidepressant (AD) efficacy in patients with treatment-resistant depression (TRD)."
32201299,"Since comorbid depression and anxiety disorders often occur, GABAergic/inhibitory and glutamatergic/excitatory drug treatments may be co-administered in these patients."
32201299,These results also suggests the need to test for the concomitant prescription of ketamine and BZD to see whether its sustained antidepressant activity is maintained in TRD patients.
30984021,"Here, we set out to investigate the role of the rodent insula in anxiety by either inactivating different insular regions via microinjections of glutamatergic AMPA receptor antagonist CNQX or activating them by microinjection of GABA receptor antagonist bicuculline in rats, before measuring anxiety-like behavior using the elevated plus maze."
35587077,The aim of the study was to explore the risk factors of ovarian hyperstimulation in patients undergoing long-acting gonadotropin-releasing hormone (GnRH) agonist protocol in follicular phase of ovulation induction therapy and to establish a predictive model.
35584371,Syndrome of inappropriate anti-diuretic hormone release (SIDAH) is a condition characterized by an unregulated release of anti-diuretic hormone (ADH) resulting in increased water retention and decreased plasma osmolarity.
35584371,"Without regulation, ADH release will cause a significant decrease in plasma sodium concentration and can present with cramping, nausea, vomiting, and in severe cases, seizures, and potentially falling into a comatose state."
35584371,"We report a rare case of SIADH resulting from a single cycle of doxorubicin and cyclophosphamide chemotherapy in a 66-year-old female with left and right, estrogen receptor positive breast cancer who experienced seizures resulting from a dramatic drop in sodium levels."
9605579,"The effect of chronic subcutaneous infusion of the 5-HT2C receptor agonist, m-chlorophenylpiperazine (m-CPP, 10 mg kg(-1), day(-1)), for 14 days was examined on daily food intake, the ability of acute m-CPP (2.5 mg kg(-1), i.p.) to induce hypolocomotion in a novel arena and elevate plasma corticosterone levels and on ex vivo cortical [3H]-mesulergine binding and hippocampal 5-HT2C receptor protein levels."
9605579,"In contrast, while m-CPP still elicited this hypolocomotion following 14 days, saline infusion, no such hypolocomotion occurred in rats given chronic m-CPP (10 mg kg(-1) day(-1)), indicating that almost complete tachyphylaxis of this behaviour occurred with chronic 5-HT2C receptor agonist injection."
9605579,"Acute challenge with m-CPP following two weeks, treatment still attenuated food intake over the next four hours (by 43% and 30%, respectively from that on the previous day) in saline and m-CPP infusion groups, showing that only partial tolerance to 5-HT2C receptor agonist-induced hypophagia occurred."
9605579,"Thus the hypophagia produced by m-CPP may involve activation of 5-HT2C receptors in the hypothalamus, where there is a greater receptor reserve or which are more resistant to agonist-induced down-regulation than 5-HT2C receptors in limbic areas (striatum and nucleus accumbens) mediating m-CPP-induced hypolocomotion."
35570696,LT3 may also be used in some thyroid cancer patients preparing for radioactive iodine therapy.
25709457,Levothyroxine therapy might be potentially useful to attenuate mood instability in this patient group.
25709457,"Herein, we report a 32-year-old male patient who had bipolar 1 disorder for 12 years who developed a breakthrough rapid cycling course and first-onset clinical hypothyroidism at the age of 31 years during lithium therapy."
25709457,This observation suggested that investigation of both levothyroxine pharmacology and thyroid pathology in male patients with rapid cycling bipolar disorder might be of much value.
35255053,To investigate the efficacy and safety of cilostazol for atherosclerosis.
35255053,"Treatment with cilostazol significantly reduced carotid intima-media thickness [mean difference (MD), -0.12 mm; 95% confidence interval (CI), -0.17 to -0.06]."
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03)."
35255053,"Cilostazol therapy significantly increased the risk of adverse events of headache (odds ratio, 12.91; 95% CI 5.33-31.29)."
35255053,"Our research has revealed that cilostazol has potent antiatherosclerotic effects and can reverse atherosclerosis progress even in high-risk patients, such as those with type 2 diabetes mellitus, and does not increase the risk of bleeding."
34117182,"However, the efficacy and safety of evinacumab (angiopoietin-like protein 3 inhibition drug) for hypercholesterolemia treatment is unknown."
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments."
34117182,Percentage changes of triglycerides and high-density lipoprotein cholesterol (HDL-C) from baseline indicated secondary end points.
15342825,"After concerns about the possible toxicity of thimerosal-containing vaccines in the United States, this study was designed to investigate whether there is a relationship between the amount of thimerosal that an infant receives via diphtheria-tetanus-whole-cell pertussis (DTP) or diphtheria-tetanus (DT) vaccination at a young age and subsequent neurodevelopmental disorders."
21443568,"The aim of this study was to elucidate the factors associated with the occurrence of mixed episodes, characterized by the presence of concomitant symptoms of both affective poles, during the course of illness in bipolar I disorder patients treated with an antidepressant, as well as the role of antidepressants in the course and outcome of the disorder."
35087274,Coronavirus disease-19 (COVID-19) is a systemic viral infection.
35087274,"COVID-19 patients show diverse clinical presentations ranging from asymptomatic, mild symptoms to severe symptoms characterized by severe respiratory distress."
35087274,The term used to define this particular insomnia is coronasomnia or COVID-19 insomnia.
35087274,"Orexin receptor antagonist drugs have good efficacy in increasing WASO, LPS, and SE with an acceptable safety profile."
30966208,"To enhance the thermal stability and permeability resistance, a comb-like polymer with crystallizable side chains was fabricated as solid-solid phase change materials (PCMs) inside the cores of microcapsules and nanocapsules prepared via in-situ polymerization."
30966208,"Comparing with low molecular organic PCMs cores, the thermal stability of PCMs microencapsulated comb-like polymer enhanced significantly, and the permeability resistance improved obviously as well."
11600000,Kernel pericarp wax of the corn breeding population GT-MAS:gk has been associated with resistance to Aspergillus flavus infection and aflatoxin production.
11600000,"An alkylresorcinol, 5-methylresorcinol, also inhibited in vitro growth of A. flavus."
11600000,These and other phenolic compounds may contribute to kernel wax inhibition of A. flavus infection/aflatoxin production.
19746561,"Unlike these other conditions, fibromyalgia is not associated with radiological or laboratory abnormalities; (4) Paracetamol has not been compared with other treatments in fibromyalgia."
19746561,"Nonsteroidal antiinflammatory drugs have no specific effect; (5) The only two trials assessing tramadol showed little effect; in one study the average pain score was 53 mm in the tramadol group versus 65 mm in the placebo group, on a scale ranging from 0 to 100 mm."
19746561,"The adverse effects of tramadol are those of opiates in general, mainly nausea and dependence."
19746561,"The best-assessed alternative therapies (acupuncture and physical exercise) only have a limited effect; (9) In practice, when a patient presents with symptoms compatible with fibromyalgia, the first step is to rule out a treatable condition."
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.
33748246,No clear consensus exists on the best way to prevent PDPH after ADP.
7262297,Pantogam does not influence the intensity of ethylmorphine N-demethylation in liver homogenates and the content of cytochrome P 450 and b5 in liver microsomes.
23033490,"In patients with advanced bladder cancer, glucocorticoids are frequently given to reduce acute toxicity, particularly hyperemesis, during chemotherapy, as well as to improve cachectic conditions."
23033490,"Then, the effects of dexamethasone on glucocorticoid receptor transcription, cell proliferation, apoptosis/cell cycle, and invasion were examined in bladder cancer lines."
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression."
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis."
19297425,Food deprivation induces a repression of protein synthesis in skeletal muscle in part due to reduced signaling through the mammalian target of rapamycin complex 1 (mTORC1).
16301999,"Through gene expression profiling we discovered that the expression of thioredoxin-intereacting protein (txnip) mRNA is significantly induced by the glucocorticoid hormone dexamethasone not only in the murine T-cell lymphoma line WEHI7.2, but also in normal mouse thymocytes."
16301999,"Together, these findings indicate that txnip is a novel glucocorticoid-induced primary target gene involved in mediating glucocorticoid-induced apoptosis."
15331122,"We have established procedures to reliably induce opiate dependence in the chick embryo via in ovo injection, early in embryonic development, of the long-acting and potent opiate N-desmethyl-l-alpha-noracetylmethadol (NLAAM)."
15331122,We then measured the corticosterone and fever responses to LPS stimulation during the withdrawal period.
15331122,"After the conclusion of opiate withdrawal, we assessed the hypersensitivity response to phytohemagglutinin (PHA)."
15331122,The fever response to LPS and the hypersensitivity response to PHA were suppressed by prenatal opiate exposure and postnatal withdrawal.
15331122,"It was unlikely that the effects of prenatal NLAAM were the result of toxicity, as little chronic toxicity was seen with the lower two doses of NLAAM, doses that yielded significant suppressions of neural-endocrine-immune responses."
35087402,Chronic infection with helminths can result in impaired immune responses to TB as well as enhancing failure to TB therapy and BCG vaccination.
35087402,"Antimycobacterial activity of the extract and fractions was tested against four non-tuberculous mycobacteria (Mycobacterium smegmatis, M. fortuitum, M. aurum, M. bovis BCG) and pathogenic M. tuberculosis H37Rv while the Egg Hatch Assay (EHA) was used for the anthelmintic test on eggs of Haemonchus contortus."
35087402,"This fraction had the best NO inhibitory activity and was the least cytotoxic, indicating that its activity was not due to general metabolic toxicity, with 96.54% cell viability."
34607333,"Ethanolic extracts of selected herbal plants reported (i.e. Aristolochia ringens, Azadirachta indica, Chromolaena odorata, Etanda Africana, Ficus capensis, Ficus vogelii, Mangifera indica, Momordica charantia, Ocimum gratisimum, Senna alata, Sorghum bicolor and Vernonia amygdalina) were investigated for antibacterial properties, using bacteria known to be causative agents of AGE."
34607333,"We further discuss our findings within a regulatory context, with the aim to guide the use of traditional and herbal medication in low-to medium income countries (LMICs) and reduce the potential risks associated with the development of antimicrobial resistance."
17420219,"Acute exposure to toluene and other volatile organic solvents results in neurotoxicity characterized by nervous system depression, cognitive and motor impairment, and alterations in visual function."
12010773,"However, the same concentration of CHPG (10 min perfusion) significantly attenuated the NMDA-induced ventral root depolarization (VRD)."
12010773,"The attenuating effect of CHPG on the NMDA-induced VRD was inhibited by the mGluR5 receptor antagonist, 2-methyl-6-phenyl-ethynylpyridine (MPEP)."
12010773,"In the presence of CGP56433A, a GABA(B) receptor antagonist, the NMDA-induced VRD was unchanged."
12010773,"Therefore, activation of mGlu5 receptors located on GABA-ergic interneurones could influence any direct potentiating interaction between mGlu5 and NMDA receptors in spinal cord and result in depression of the VRD."
18472959,"Androgen deprivation induces the regression of prostate tumors mainly due to an increase in the apoptosis rate; however, the molecular mechanisms underlying the antiapoptotic actions of androgens are not completely understood."
18472959,We have studied the antiapoptotic effects of androgens in prostate cancer cells exposed to different proapoptotic stimuli.
18472959,"Terminal deoxynucleotidyl transferase-mediated nick-end labeling and nuclear fragmentation analyses demonstrated that androgens protect LNCaP prostate cancer cells from apoptosis induced by thapsigargin, the phorbol ester 12-O-tetradecanoyl-13-phorbol-acetate, or UV irradiation."
16004999,"The present in vitro study demonstrates the effect of androgen on thymocyte apoptosis leading to thymic atrophy in the wall lizard, Hemidactylus flaviviridis."
16004999,"However, the DHT-induced TEC-secreted apoptotic factors could induce thymocyte DNA fragmentation only when DHT was added to the conditioned medium."
16004999,It implies that DHT priming of thymocytes is required for the apoptotic effect of DHT-induced TEC-secreted factor.
11070352,"Here are described the effects of androgens, and other molecules known to bind to androgen receptors (AR), on MOP cells established from the human prostate cancer cell line LNCaP. MOP cells contained AR: 100000 binding sites/cell, K(D) for 5alpha dihydrotestosterone (DHT) 0.5 nM, size 110 kDa."
11070352,"R 1881, CYPA and E2 blocked the cell cycle between G1 and S phases and they induced apototosis as demonstrated by the increase of blebs on the plasma membrane, nuclear fragmentation, TdT-mediated dUTP nick end-labeling (TUNEL)-positive cells and internucleosomal DNA breaks."
11070352,"In athymic nude mice, testosterone enanthate prevented the growth of MOP tumors and, when tumors did develop, brought about regression."
11070352,With these cells it was possible to confirm that androgens paradoxically repress the growth of some prostate cancer cells both in culture and in vivo.
11070352,"In addition it is demonstrated in culture but not in vivo, for the first time to the authors' knowledge, that a synthetic androgen is able to induce apoptosis of cells established from human prostate carcinoma."
29706030,Preconception planning in women with hypothyroidism should pre-empt and mirror the adaptive changes in the thyroid gland by careful levothyroxine dose adjustments to ensure adequate foetal thyroid hormone delivery in pregnancy.
29706030,"In hyperthyroidism, the goal of preconception therapy is to control hyperthyroidism while curtailing the unwanted side effects of foetal and maternal exposure to antithyroid drugs."
29706030,"Thus, pregnancy should be deferred until a stable euthyroid state is achieved, and definitive therapy with radioiodine or surgery should be considered in women with Graves' disease planning future pregnancy."
29706030,Women with active disease who are imminently trying to conceive should be switched to propylthiouracil either preconception or at conception in order to minimize the risk of birth defects from carbimazole or methimazole exposure.
33076712,7-methylxanthine (7-MX) is a molecule that is presently under clinical investigation for the treatment of myopia.
33076712,"In the present study, we have investigated sub-chronic and chronic toxicity of 7-MX in comparison to other clinically used methylxanthines i.e., caffeine and theobromine as per OECD guidelines 408 and 452."
33076712,"In sub-chronic treatment, 7-MX showed no mortality and signs for toxicity in any group, whereas 10% and 40% mortality with signs for toxicity were observed in caffeine and theobromine treated groups, respectively."
34303966,"In this study, neuroprotective potential of theobromine (TBR) was evaluated in 2-vessel occlusion transient global cerebral ischemia-reperfusion (tGCI/R) rat model."
34303966,"TBR protected against lipid peroxidation and enhanced glutathione level in brain against tGCI/R. TBR pre-treatment for 7 days prevented tGCI/R induced cell death (lactate dehydrogenase, caspase-3), vascular injury (MMP-9), and inflammation (TNF-α, NFκB) in rat whole brain."
34303966,TBR protected against glutamate excitotoxicity and GABAergic decline in the brain of rats against tGCI/R injury.
32697259,"Here, we found that FTEs supplementation effectively alleviated the body weight gain, visceral fat accumulation, dyslipidemia, and impaired glucose tolerance induced by a high-fat diet (HFD), and fecal microbiota transplantation (FMT) from FTEs-treated mice showed similar protective effects as FTEs supplementation in mice fed with a HFD."
32697259,"In particular, FTEs reversed HFD-induced gut microbiota dysbiosis via increasing the relative abundances of Bacteroides, Adlercreutzia, Alistipes, Parabacteroides, and norank_f_Lachnospiraceae, and reducing that of Staphylococcus."
