ID,Label,Preferred label,Synonyms
D001206,CHEBI,Ascorbic Acid Deficiency,"Ascorbic acid|vitamin C|Vitamin C Deficiency|vitamin C deficiency|ascorbic acid|Vitamin C Deficiencies|Deficiency, Vitamin C|Vitamin C deficiency|Ascorbic Acid Deficiencies|Deficiency, Ascorbic Acid|Deficiencies, Ascorbic Acid|ascorbic acid deficiency|Deficiencies, Vitamin C"
D019636,DISEASE,Neurodegenerative Diseases,"Neurologic Degenerative Conditions|Neurologic Disorder, Degenerative|Neurologic Degenerative Condition|Neurodegenerative Disease|Neurologic Disease, Degenerative|Degenerative Diseases, Spinal Cord|neurodegenerative|neurologic diseases|Neurologic Diseases, Degenerative|Neurologic Degenerative Diseases|Degenerative Diseases, Nervous System|neurodegenerative diseases|neurodegenerative disorders|Degenerative Neurologic Disorders|Degenerative Condition, Neurologic|Neurologic Disorders, Degenerative|Neurodegenerative Disorder|Degenerative Conditions, Neurologic|Nervous System Degenerative Diseases|Degenerative Neurologic Disorder|Degenerative Neurologic Disease|degenerative diseases|Degenerative Diseases, Neurologic|Neurologic disorders|Degenerative Neurologic Diseases|Neurologic Degenerative Disease|neurologic disorders|Neurodegenerative Disorders|Degenerative Diseases, Central Nervous System"
D020529,DISEASE,"Multiple Sclerosis, Relapsing-Remitting","Acute Relapsing Multiple Sclerosis|Multiple Sclerosis, Remitting-Relapsing|Remitting Relapsing Multiple Sclerosis|Multiple Sclerosis, Acute Relapsing|Relapsing Remitting Multiple Sclerosis|Remitting-Relapsing Multiple Sclerosis|Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis, Relapsing Remitting|multiple sclerosis"
D000544,DISEASE,Alzheimer Disease,"|Alzheimer Dementia|ATD|Alzheimer's Disease, Focal Onset|Late Onset Alzheimer Disease|Early Onset Alzheimer Disease|Dementia, Primary Senile Degenerative|SDAT|disease dementia|Presenile Dementia|Senile Dementia, Alzheimer Type|Alzheimer type dementia|Familial Alzheimer Disease (FAD)|type dementia|Alzheimer Type Dementia|Alzheimer Diseases|Presenile Alzheimer Dementia|Alzheimer Sclerosis|senile dementia|Dementia, Senile|Primary Senile Degenerative Dementia|Alzheimer Type Dementia (ATD)|Dementia, Alzheimer|Alzheimer Type Senile Dementia|Dementia, Alzheimer-Type (ATD)|Alzheimer type|Senile Dementia|Alzheimer Disease, Early Onset|Alzheimer's Diseases|Dementia, Presenile|Senile Dementia, Acute Confusional|dementia Alzheimer type|Familial Alzheimer Diseases (FAD)|Alzheimer's disease|Acute Confusional Senile Dementia|Sclerosis, Alzheimer|Alzheimers Diseases|Alzheimer Dementias|Alzheimer dementia|Focal Onset Alzheimer's Disease|Dementia, Alzheimer Type|Alzheimer Disease, Familial (FAD)|Alzheimer disease|Alzheimer Disease|Alzheimer Syndrome|Alzheimer-Type Dementia (ATD)|Alzheimer's Disease|Alzheimer Disease, Late Onset"
D000690,DISEASE,Amyotrophic Lateral Sclerosis,"Guam Form of Amyotrophic Lateral Sclerosis|Guam Disease|ALS Amyotrophic Lateral Sclerosis|Amyotrophic Lateral Sclerosis|Disease, Guam|ALS|Gehrig Disease|Amyotrophic Lateral Sclerosis, Parkinsonism-Dementia Complex of Guam|ALS - Amyotrophic Lateral Sclerosis|Lou Gehrig Disease|Amyotrophic Lateral Sclerosis, Guam Form|Sclerosis, Amyotrophic Lateral|Lou-Gehrigs Disease|Gehrig's Disease|Amyotrophic Lateral Sclerosis With Dementia|Motor Neuron Disease, Amyotrophic Lateral Sclerosis|Lateral Sclerosis|amyotrophic lateral sclerosis|Charcot Disease|Amyotrophic Lateral Sclerosis, Parkinsonism Dementia Complex of Guam|Lou Gehrig's Disease|Dementia With Amyotrophic Lateral Sclerosis|Gehrigs Disease|Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex 1|lateral sclerosis|Amyotrophic Lateral Sclerosis Parkinsonism Dementia Complex 1|Disease, Lou-Gehrigs"
NEW00007,DISEASE,schizophrenic patients,schizophrenic patients
D011736,CHEBI,Pyridoxine,Vitamin B6|Pyridoxine Hydrochloride|vitamin B6|pyridoxine|Pyridoxol|Rodex|Pyridoxine|Pyridoxin|Pyridoxol Hydrochloride
NEW00008,CHEMICAL,high plasma pentosidine levels,high plasma pentosidine levels
NEW00009,DISEASE,idiopathic carbonyl stress,idiopathic carbonyl stress
NEW00010,CHEMICAL,high pentosidine levels,high pentosidine levels
NEW00011,CHEBI,lowered vitamin B6 levels,lowered vitamin B6 levels
D018164,DISEASE,"Hemorrhagic Disease Virus, Epizootic",hemorrhagic disease|Epizootic hemorrhagic disease virus
D034161,DISEASE,Pelvic Infection,"infection|Infection|Infection, Pelvic|Infections, Pelvic|Pelvic Infections"
NEW00012,MENTAL_HEALTH,unlearned fear,unlearned fear|anxiety
D059787,DISEASE,Acute Pain,"Pain, Acute|acute pain|Pains, Acute|Pain|pain|arthritis model|Acute Pains"
D064417,CHEBI,Vitamin K Epoxide Reductases,"Vitamin K Epoxidase|Vitamin K 2,3 Epoxide Reductase|Vitamin KO Reductase|K Epoxidase, Vitamin|Epoxide Reductase, Menadione|phylloquinone|Vitamin K 2,3-Epoxide Reductase|Epoxide Reductase, Phylloquinone|vitamin K.|Epoxidase, Vitamin K|Vitamin K 1 Epoxidase|Vitamin K Epoxide Reductase|Vitamin K1 Oxide Reductase|Menadione Epoxide Reductase|vitamin K|Phylloquinone Epoxide Reductase|Reductase, Vitamin KO|Vitamin K|Reductase, Phylloquinone Epoxide|Reductase, Menadione Epoxide"
NEW00013,CHEBI,Riboflavin transporter deficiency,Riboflavin transporter deficiency
D064507,CHEBI,"Solute Carrier Family 12, Member 4","Erythroid K-Cl Cotransporter 1|carrier family|Protein, KCC1|Erythroid K Cl Cotransporter 1|Protein, SLC12A4|KCC1 Protein|Electroneutral Potassium-Chloride Cotransporter 1|SLC12A4 Protein|carrier|Solute Carrier Family 12 (Potassium Chloride Transporters), Member 4 Protein|Electroneutral Potassium Chloride Cotransporter 1"
NEW00014,CHEBI,folate deficiency,folate deficiency
NEW00015,DISEASE,psychiatric hospitalization,psychiatric hospitalization
NEW00016,DISEASE,psychiatric patients,psychiatric patients
NEW00017,CHEBI,low serum folate values,low serum folate values
NEW00018,DISEASE,B12 insufficiency,B12 insufficiency
D060825,DISEASE,Cognitive Dysfunction,"Impairments, Mild Cognitive|Disorders, Mild Neurocognitive|Deteriorations, Mental|Impairment, Mild Cognitive|Impairments, Cognitive|Disorder, Mild Neurocognitive|Mild Neurocognitive Disorders|Cognitive Impairments, Mild|Mild Cognitive Impairment|Neurocognitive Disorders, Mild|Declines, Cognitive|Cognitive Impairment, Mild|cognitive dysfunction|Mental Deterioration|Cognitive Impairments|Mild Cognitive Impairments|Cognitive Impairment|Decline, Cognitive|cognitive decline|MCI|Mild Neurocognitive Disorder|mild cognitive impairment|Cognitive Decline|Dysfunctions, Cognitive|Deterioration, Mental|Neurocognitive Disorder, Mild|Cognitive Dysfunctions|Cognitive Declines|Dysfunction, Cognitive|cognitive impairments|Impairment, Cognitive|Cognitive dysfunction|Mental Deteriorations"
NEW00019,CHEMICAL,Biotin-dependent carboxylases,Biotin-dependent carboxylases
D027982,CHEMICAL,Sodium-Bicarbonate Symporters,"Symport, Na-HCO3|Symporters, Sodium-Bicarbonate|Solute Carrier Family 4 Member 10|Electroneutral Sodium Bicarbonate Exchanger 1|Na-HCO3 Symport|Electrogenic Sodium Bicarbonate Cotransporter 4|NBCn2 Protein|Electrogenic Sodium Bicarbonate Cotransporter 1|Sodium driven chloride bicarbonate exchanger|NBCE1 Protein|Protein, SLC4A5|NBCe2 Protein|bicarbonate|Symport, Sodium Bicarbonate|Solute Carrier Family 4, Sodium Bicarbonate Cotransporter, Member 4|Protein, NBCn2|Protein, NBCe2|SLC4A10 Protein|Electroneutral Na(+)-Driven Cl-HCO3 Exchanger|Protein, NBC4|Sodium-driven chloride bicarbonate exchanger|Solute Carrier Family 4, Sodium Bicarbonate Cotransporter, Member 7|Protein, NBCE1|Protein, NBC1|Solute Carrier Family 4 Member 4|Bicarbonate Transporters, Sodium-Coupled|Sodium Bicarbonate Cotransporter 3|Cotransporter, Sodium-Bicarbonate|NCBE Protein|NBC1 Protein|Solute Carrier Family 4 Member 7|Protein, SLC4A7|NBC4 Protein|Sodium Bicarbonate Cotransporter 2|k-NBC3 Protein|SLC4A4 Protein|Protein, SLC4A8|Bicarbonate Symport, Sodium|Solute Carrier Family 4, Sodium Bicarbonate Cotransporter, Member 5|NBC3 Protein|Solute Carrier Family 4, Sodium Bicarbonate Cotransporter, Member 8|Solute Carrier Family 4, Sodium Bicarbonate Cotransporter, Member 10|k NBC3 Protein|Na HCO3 Symport|Sodium-Coupled Bicarbonate Transporters|Sodium-Bicarbonate Cotransporter|Protein, k-NBC3|Sodium Coupled Bicarbonate Transporters|SLC4A5 Protein|Sodium Bicarbonate Symport|Solute Carrier Family 4 Member 5|SLC4A7 Protein|Transporters, Sodium-Coupled Bicarbonate|Sodium Bicarbonate Cotransporter|Sodium Bicarbonate Symporters|Protein, NBC3|Solute Carrier Family 4 Member 8|SLC4A8 Protein|Protein, SLC4A4|Protein, SLC4A10"
D053831,MENTAL_HEALTH,Surgical Fixation Devices,"surgical fixation|Fixation Devices, Surgical|fixation|Devices, Surgical Fixation|Surgical Fastener|Device, Surgical Fixation|Fixation Device, Surgical|Surgical Fixation Device|Fasteners, Surgical|Surgical Fasteners|Fastener, Surgical"
D024361,CHEMICAL,"Amino Acids, Basic","amino acids|Amino Acid, Basic|Basic Amino Acids|Basic Amino Acid|Amino acids"
D044242,NUTRITION,Trans Fatty Acids,"Acids, Trans Fatty|Acid, Trans Fatty|Trans-Fatty Acids|fatty acids|Acids, Trans-Fatty|trans-fatty acids|trans fatty acids|Fatty acids|Fatty Acids, Trans|Fatty Acid, Trans|Trans Fatty Acid|TFA"
C531633,CHEBI,Biotin deficiency [Supplementary Concept],Biotinidase Deficiency|Biotin deficiency|biotin deficiency
D009123,DISEASE,Muscle Hypotonia,"Hypotonia|muscle flaccidity|Muscle, Floppy|Tone Atonic, Muscle|Flaccidity, Muscular|Muscular Flaccidities|hypotonia|Flaccid Muscle Tone|Hypotonia, Unilateral|Floppy Muscle|Neonatal Hypotonia|Hypomyotonia|Decreased Muscle Tone|Muscular Flaccidity|Hypotonia, Muscle|Muscles, Floppy|Muscle Tone Atonic|Muscular Hypotonia|flaccidity|Hypotonias, Neonatal|Hypotonia, Muscular|Hypotonia, Neonatal|Floppy Muscles|Hypotony, Muscle|Muscle Tone, Decreased|Unilateral Hypotonia|Muscle Tone, Flaccid|Tone Poor, Muscle|Flaccidity, Muscle|Hypotonias, Unilateral|Muscle Hypotony|Muscle Tone Atonics|Neonatal Hypotonias|Muscle Flaccidity|Muscle Tone Poor"
NEW00020,DISEASE,organic aciduria,organic aciduria
D058066,DISEASE,Digital Dermatitis,"Foot Wart, Bovine|Bovine Digital Dermatitis|Digital Dermatitis, Ovine|Papillomatosis, Digital|Digital Dermatitis, Papillomatous|Hairy Footwart, Bovine|Wart, Bovine Foot|Warts, Bovine Foot|Bovine Foot Warts|Digital Dermatitides, Bovine|Dermatitides, Bovine Digital|Bovine Foot Wart|Hairy Footwarts, Bovine|Dermatitides, Digital|Dermatitis, Digital|Footwart, Bovine Hairy|Digital Papillomatoses|Bovine Hairy Footwart|Papillomatous Digital Dermatitis|Papillomatous Digital Dermatitides|Digital Dermatitis, Bovine|Dermatitis, Bovine Digital|Digital Papillomatosis|Digital Dermatitides|Digital Dermatitides, Ovine|Bovine Digital Dermatitides|dermatitis|Foot Warts, Bovine|Ovine Digital Dermatitides|Digital Dermatitides, Papillomatous|Footwarts, Bovine Hairy|Papillomatoses, Digital|Ovine Digital Dermatitis|Bovine Hairy Footwarts"
D020270,DISEASE,Alcohol Withdrawal Seizures,"Seizures, Alcohol Withdrawal|Alcohol Withdrawal Induced Major Motor Seizure|Alcohol Withdrawal-Induced Status Epilepticus|Alcohol Withdrawal Induced Seizure|Seizure, Alcoholic|Seizures, Alcoholic|Alcohol-Related Seizure|Alcoholic Seizure|Seizures|Alcohol Withdrawal Seizure|Alcohol Withdrawal-Induced Seizures|Withdrawal-Induced Seizures, Alcohol|Seizure, Alcohol Withdrawal|Seizure, Alcohol-Related|Major Motor Seizure, Alcohol Withdrawal-Induced|Seizures, Alcohol Withdrawal-Induced|Alcohol Related Seizures|alcohol withdrawal|Alcohol-Related Seizures|Status Epilepticus, Alcohol Withdrawal Induced|Alcohol Withdrawal-Induced Major Motor Seizure|Status Epilepticus, Alcohol Withdrawal-Induced|Alcoholic Seizures|Withdrawal-Induced Seizure, Alcohol|Seizure, Alcohol Withdrawal-Induced|Seizures, Alcohol-Related|Alcohol Withdrawal Induced Status Epilepticus|Alcohol withdrawal|withdrawal seizures|Alcohol Withdrawal-Induced Seizure|seizures"
D064007,DISEASE,Ataxia Telangiectasia Mutated Proteins,"ATM Protein|ataxia|Ataxia|Mutated Protein, AT|A-T Protein|Protein, AT Mutated|Protein, A-T|A T Protein|AT Mutated Protein"
NEW00021,DISEASE,ketolactic acidosis,ketolactic acidosis
D000505,DISEASE,Alopecia,"hair loss||Androgenic Alopecia|Baldness, Pattern|Androgenic Alopecias|Hair Losses|Alopecia, Male Pattern|Pseudopelade|Alopecia|Pattern Baldness|Alopecia Cicatrisatas|Alopecias, Androgenic|Losses, Hair|Androgenetic Alopecia|Baldness, Female Pattern|androgenetic alopecia|Androgenetic alopecia|Male Pattern Baldness|Female Pattern Baldness|Alopecia Cicatrisata|Alopecia, Androgenic|Loss, Hair|Baldness, Male Pattern|Male Pattern Alopecia|Hair Loss|Alopecia, Androgenetic|Baldness"
D051860,MENTAL_HEALTH,Fragile X Mental Retardation Protein,Fragile X Mental Retardation 1 Protein|MR|Fragile X Mental Retardation-1 Protein|FMRP Protein|Mental retardation|Fragile X Mental Retardation Protein|mental retardation
NEW00022,CHEBI,folate levels,folate levels
NEW00023,MENTAL_HEALTH,ADHD patients,ADHD patients
NEW00024,CHEBI,vitamin abnormalities,vitamin abnormalities
D003324,DISEASE,Coronary Artery Disease,"coronary artery disease||Atherosclerosis, Coronary|Coronary Arteriosclerosis|Artery Diseases, Coronary|Artery Disease, Coronary|Left Main Diseases|Arterioscleroses, Coronary|Coronary Atheroscleroses|coronary atherosclerosis|Atheroscleroses, Coronary|Left Main Coronary Disease|CAD|Coronary Arterioscleroses|Left Main Coronary Artery Disease|Arteriosclerosis, Coronary|Left Main Disease|Coronary Atherosclerosis|Coronary Artery Diseases"
NEW00025,DISEASE,AD VaD patients,AD VaD patients
D008315,CHEMICAL,Malondialdehyde,"|Propanedial|Malonylaldehyde|Malonyldialdehyde|malondialdehyde|Malonaldehyde|Sodium Malondialdehyde|Malondialdehyde, Sodium|MDA"
NEW00026,CHEMICAL,serotonin 5-HT1A/1B receptor agonist eltoprazine,serotonin 5-HT1A/1B receptor agonist eltoprazine
NEW00027,DISEASE,Parkinson 's disease,Parkinson 's disease|early Parkinson 's disease|PD
NEW00028,DISEASE,dyskinetic-like behavior,dyskinetic-like behavior
D058917,CHEMICAL,Adenosine A2 Receptor Antagonists,Adenosine A2B Receptor Antagonists|Adenosine A2A receptor antagonists|Adenosine A2A Receptor Antagonists|adenosine A2A receptor antagonists|A2A receptor antagonists|adenosine A2A receptor
NEW00029,CHEMICAL,l-dopa efficacy,l-dopa efficacy
C539997,CHEMICAL,"2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine [Supplementary Concept]",preladenant|Triazoles|Pyrimidines
NEW00030,CHEMICAL,chronic subordinate colony housing,CSC|chronic subordinate colony housing
NEW00031,DISEASE,haloperidol-induced catalepsy,haloperidol-induced catalepsy
C108242,CHEMICAL,"1-aminocyclopentane-1,3,4-tricarboxylic acid [Supplementary Concept]",Tricarboxylic Acids|ACPT-I|Cyclopentanes
D002375,DISEASE,Catalepsy,"Catalepsies|Waxy Flexibilities||Flexibility, Waxy|parkinsonian catalepsy|Waxy Flexibility|Flexibilitas, Cerea|Anochlesia|Catalepsy|catalepsy|Flexibilities, Waxy|Cerea Flexibilitas|Anochlesias"
NEW00032,CHEMICAL,mGluR5 inverse agonist 2-methyl-6-(phenylethynyl)pyridine,mGluR5 inverse agonist 2-methyl-6-(phenylethynyl)pyridine|MPEP
NEW00033,DISEASE,parkinsonian rats,parkinsonian rats
D007980,CHEMICAL,Levodopa,"Larodopa||L-dopa|L-3,4-Dihydroxyphenylalanine|L-Dopa|L-3,4-dihydroxyphenylalanine|l-3,4-dihydroxyphenylalanine|Dopar|Levopa|L 3,4 Dihydroxyphenylalanine|L-DOPA|3 Hydroxy L tyrosine|Levodopa|Dopaflex|L Dopa|levodopa|3-Hydroxy-L-tyrosine|l-DOPA"
D018726,MENTAL_HEALTH,Anti-Dyskinesia Agents,"Agents, Movement Disorder|Dyskinesia|Movement Disorder Agents|dyskinesia|Agents, Anti-Dyskinesia|Anti Dyskinesia Agents|Disorder Agents, Movement"
D010300,DISEASE,Parkinson Disease,"|Idiopathic Parkinson's Disease|Parkinson's Disease, Idiopathic|Parkinson's Disease, Lewy Body|Idiopathic Parkinson Disease|Parkinson's Disease|Parkinson´s disease|Paralysis Agitans|idiopathic Parkinson's disease|Lewy Body Parkinson Disease|Lewy Body Parkinson's Disease|Primary Parkinsonism|Parkinsonism, Primary|Parkinson's disease|Parkinson Disease, Idiopathic"
NEW00034,CHEMICAL,"dopamine precursor L-3,4-dihydroxyphenylalanine","dopamine precursor L-3,4-dihydroxyphenylalanine|L-DOPA"
C111599,CHEMICAL,istradefylline [Supplementary Concept],istradefylline|KW-6002|Istradefylline|Purines
D002110,CHEMICAL,Caffeine,"No Doz||Dexitac|Durvitan|Percutaféine|Quick Pep|trimethylxanthine|Percoffedrinol N|Quick-Pep|Vivarin|Coffeinum N|caffeine|Caffedrine|1,3,7-Trimethylxanthine|Caffeine|Coffeinum Purrum|QuickPep"
D011619,CHEBI,Psychotropic Drugs,"Psychoactive Agents|Agent, Psychoactive|Psychoactive Agent|Psychopharmaceuticals|Psychoactive Drug|Psychotropic Drug|Drugs, Psychoactive|Drug, Psychotropic|Psychoactive Drugs|psychoactive drug|Psychopharmaceutical|Agents, Psychoactive|Drug, Psychoactive|Drugs, Psychotropic|psychotropic drug"
NEW00035,CHEMICAL,adenosine A2A antagonists,adenosine A2A antagonists
C087658,CHEMICAL,levodopa receptor [Supplementary Concept],"L-dopa|LDl|L-Dopa|L-DOPA|Receptors, Neurotransmitter|l-dopa"
NEW00036,CHEBI,agonist drugs,agonist drugs
NEW00037,MENTAL_HEALTH,subscale D,subscale D|depression|central alpha-2 receptors
NEW00038,CHEBI,drug class,drug class
NEW00039,CHEBI,A2A antagonists,A2A antagonists
NEW00040,DISEASE,neuronal loss,neuronal loss
D000077285,CHEMICAL,Rimonabant,"SR141716|SR141716A|Zimulti|SR-141716A|Rimonabant|rimonabant|SR 141716A|Rimonabant Hydrochloride|SR 141716|Acomplia|N-(Piperidin-1-yl)-5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxamide hydrochloride"
D064829,CHEMICAL,Alcohol Abstinence,"Abstinence, Alcohol|alcohol|Abstinence, Ethanol|Abstinence from Ethanol|Ethanol Abstinence|Abstinence from Ethanols|alcohol abstinence|Alcohol"
NEW00041,CHEMICAL,acid/kainate receptor-type neurotoxicity,acid/kainate receptor-type neurotoxicity
NEW00042,CHEMICAL,voltage sensitive calcium channels,voltage sensitive calcium channels
NEW00043,CHEMICAL,oxotremorine treatment,oxotremorine treatment
NEW00044,DISEASE,chronic stress-induced cognitive deficits,chronic stress-induced cognitive deficits
D014147,CHEMICAL,Tramadol,|Tramadol-ratiopharm|TramaDorsch|Tramagit|Tramadol Bayvit|MTWTramadol|Tramex|Tramadolor|Tramadol Hameln|Tramadol|Tramabeta|Zumalgic|Trama-Dorsch|Biokanol|Zytram|Takadol|Tramadol Dolgit|Jutadol|Tradol|Tramadol-Dolgit|Tramadol AL|Tradonal|Ranitidin 1A Pharma|Tramadol Asta Medica|MTW Tramadol|Tramadol Cinfa|Tradol-Puren|Trama Dorsch|TradolPuren|Tramadolratiopharm|Tramal|Tralgiol|Tramake|Nobligan|Tramadol-Hameln|Trama 1A Pharma|Tramadol Edigen|Ultram|Tramadol Kern|Trasedal|Tramagetic|Biodalgic|Tramadol Mabo|Xymel 50|Tramundin|K-315|Adolonta|Tramadol Basics|Tramadol PB|Theradol|Tramadin|Contramal|Tramadol Lichtenstein|Zamudol|Topalgic|Tramadol Bexal|Zydol|Tramadol Ratiopharm|Tramadol Heumann|Amadol|TramadolHameln|Tramadoc|Tiral|K 315|Tradol Puren|tramadol|Tramadol Lindo|Trama AbZ|Tramadol acis|TramadolDolgit|Tramadura|K315|Tramadol Stada|Tramadol Hydrochloride|Prontofort|Trama KD|MTW-Tramadol|Tramadol 1A|Tramadol Normon
D018712,CHEBI,"Analgesics, Non-Narcotic","Analgesics, Non-Opioid|Analgesics, Non Narcotic|Opioid analgesics|Analgesics, Nonnarcotic|Analgesic, Non Opioid|Non Opioid Analgesics|Non-Opioid Analgesics|opioid analgesics|Opioid Analgesic, Non|opioid analgesic|Nonopioid Analgesics|Non Opioid Analgesic|Non-Narcotic Analgesics|Analgesic, Non-Opioid|Nonnarcotic Analgesics|Analgesics, Nonopioid|Non-Opioid Analgesic|Analgesic, Nonopioid|Nonopioid Analgesic"
NEW00045,CHEMICAL,tramadol administration,tramadol administration
NEW00046,DISEASE,neurodegeneration effect,neurodegeneration effect
D003024,CHEMICAL,Clozapine,|CLZ|Clozaril|clozapine|Clozapine|Leponex|clozapine-
D000090663,MENTAL_HEALTH,"Schizophrenia, Treatment-Resistant","Treatment Resistant Schizophrenia|Refractory Schizophrenia|refractory schizophrenia|Treatment-Resistant Schizophrenia|treatment-resistant schizophrenia|schizophrenia treatment|Schizophrenia, Treatment Resistant|Schizophrenia, Refractory|treatment resistant schizophrenia"
NEW00047,CHEMICAL,analgesic opioid prescription,analgesic opioid prescription|AOP
NEW00048,MENTAL_HEALTH,abuse disorder,abuse disorder
NEW00049,CHEMICAL,age ≤ old female gender,age ≤ old female gender
C087036,DISEASE,"NS-5 protein, hepatitis C virus [Supplementary Concept]",hepatitis C virus|Hepatitis C virus|Viral Nonstructural Proteins|HCV|RNA-Dependent RNA Polymerase
D009340,CHEMICAL,Nefopam,"Fenazoxine|Nefopam Hydrochloride|Hydrochloride, Nefopam|Nefopam hydrochloride|Silentan Nefopam|nefopam|Ajan|Nefopam, Silentan|Acupan"
NEW00050,DISEASE,electric seizure threshold,electric seizure threshold
D010098,CHEMICAL,Oxycodone,|Pancodine|Dihydrohydroxycodeinone|Oxiconum|Oxycodone|Eucodal|Oxycodeinon|Dihydrone|Oxycone|Oxycodone Hydrochloride|Oxycontin|Dinarkon|Theocodin|oxycodone
NEW00051,DISEASE,severe pain,severe pain
NEW00052,CHEMICAL,opioid-naive patients,opioid-naive patients
D018847,CHEMICAL,Opioid Peptides,"Opioid Peptide|Opiates, Endogenous|opioid|Opiate Peptides|Peptides, Opioid|Peptides, Opiate|Peptide, Opioid|morphine|Endogenous Opiates"
NEW00053,DISEASE,renal impairment due,renal impairment due
