PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
28751857,It is still unclear whether this BDNF SNP affects the clinical outcome of RTT individuals.,BDNF SNP,CHEMICAL,affect clinical outcome of,RTT individuals,DISEASE
28751857,"To evaluate whether this BDNF SNP contributes to RTT pathophysiology, we examined the consequences of expression of either val-BDNF or met-BDNF on dendrite and dendritic spine morphology, and synaptic function in cultured hippocampal neurons from wildtype (WT) and Mecp2 knockout (KO) mice.",BDNF SNP,CHEMICAL,contribute to,RTT pathophysiology,DISEASE
34305715,High scores for the emotionality and self-control dimensions of TEI were strongly associated with membership of the low alexithymia group; high scores for the emotional exhaustion dimension of school burnout were indicative of membership of the high alexithymia group.,self-control dimensions,CHEMICAL,be associated with membership of,low alexithymia group,MENTAL_HEALTH
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",Citrin,CHEMICAL,be,liver-type mitochondrial aspartate-glutamate carrier,CHEBI
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",Citrin,CHEMICAL,be,liver-type mitochondrial aspartate-glutamate carrier,CHEMICAL
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEBI,cause,adult-onset type citrullinemia,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEBI,cause,NICCD,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEBI,cause,CTLN2,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEBI,cause,neonatal intrahepatic cholestasis,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEMICAL,cause,adult-onset type citrullinemia,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEMICAL,cause,NICCD,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEMICAL,cause,CTLN2,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",liver-type mitochondrial aspartate-glutamate carrier,CHEMICAL,cause,neonatal intrahepatic cholestasis,DISEASE
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,galactosemia,DISEASE
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,hypoproteinemia,DISEASE
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,methionine,NUTRITION
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,tyrosine,CHEMICAL
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,multiple aminoacidemia,CHEMICAL
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,threonine,NUTRITION
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,hypoglycemia,DISEASE
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,citrulline,CHEMICAL
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,fatty liver,DISEASE
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine.",NICCD patients,DISEASE,have,jaundice,DISEASE
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.,Many CTLN2 patients,DISEASE,be treated with low protein and high carbohydrate diet and glycerol at,hyperammonemic coma,DISEASE
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.,Many CTLN2 patients,DISEASE,be treated with,glycerol,CHEMICAL
16199199,"Loss of citrin first cause deficiency of aspartate in the cytosol, which results in an increase in cytosolic NADH/NAD(+) ratio and then activation of fatty acid synthesis pathway to compensate the aberrant ratio.",citrin,DISEASE,cause deficiency of,aspartate,CHEMICAL
23378222,Hypersexuality with compulsive sexual behaviour is a significant source of morbidity for patients with Parkinson's disease receiving dopamine replacement therapies.,compulsive sexual behaviour,DISEASE,be significant source of morbidity for patients with,Parkinson's disease,DISEASE
23378222,Hypersexuality with compulsive sexual behaviour is a significant source of morbidity for patients with Parkinson's disease receiving dopamine replacement therapies.,Hypersexuality,DISEASE,be significant source of morbidity for patients with,Parkinson's disease,DISEASE
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",hypersexuality,DISEASE,be scanned,dopamine drugs,CHEBI
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",Parkinson's disease,DISEASE,be scanned,dopamine drugs,CHEBI
34527172,"Phytoestrogens are nonestradiol compounds classified as one of the endocrine-disrupting chemicals (EDCs), meaning that they can potentially disrupt hormonal balance and result in developmental and reproductive abnormalities.",Phytoestrogens,CHEBI,classified as one of,endocrine-disrupting chemicals,CHEMICAL
34527172,"What is intriguing, although classified as EDCs, phytoestrogens seem to have a beneficial influence on Alzheimer's disease symptoms and neuropathologies.",phytoestrogens,CHEBI,have beneficial influence on alzheimer's,neuropathologies,DISEASE
35013866,"This double-blind, randomized controlled trial, tested fatty acid (FA) supplementation in children (ages 2- < 6 years) recently diagnosed with Autism Spectrum Disorder (ASD).",fatty acid FA supplementation,NUTRITION,diagnose with,ASD,DISEASE
35013866,"This double-blind, randomized controlled trial, tested fatty acid (FA) supplementation in children (ages 2- < 6 years) recently diagnosed with Autism Spectrum Disorder (ASD).",fatty acid FA supplementation,NUTRITION,diagnose with,Autism Spectrum Disorder,MENTAL_HEALTH
32201299,These results also suggests the need to test for the concomitant prescription of ketamine and BZD to see whether its sustained antidepressant activity is maintained in TRD patients.,antidepressant activity,CHEMICAL,be maintained in,TRD patients,DISEASE
9605579,"The effect of chronic subcutaneous infusion of the 5-HT2C receptor agonist, m-chlorophenylpiperazine (m-CPP, 10 mg kg(-1), day(-1)), for 14 days was examined on daily food intake, the ability of acute m-CPP (2.5 mg kg(-1), i.p.) to induce hypolocomotion in a novel arena and elevate plasma corticosterone levels and on ex vivo cortical [3H]-mesulergine binding and hippocampal 5-HT2C receptor protein levels.",m-chlorophenylpiperazine m-CPP,CHEMICAL,be examined for days on,daily food intake,NUTRITION
9605579,"The effect of chronic subcutaneous infusion of the 5-HT2C receptor agonist, m-chlorophenylpiperazine (m-CPP, 10 mg kg(-1), day(-1)), for 14 days was examined on daily food intake, the ability of acute m-CPP (2.5 mg kg(-1), i.p.) to induce hypolocomotion in a novel arena and elevate plasma corticosterone levels and on ex vivo cortical [3H]-mesulergine binding and hippocampal 5-HT2C receptor protein levels.",5-HT2C receptor agonist,CHEBI,be examined for days on,daily food intake,NUTRITION
9605579,"In contrast, while m-CPP still elicited this hypolocomotion following 14 days, saline infusion, no such hypolocomotion occurred in rats given chronic m-CPP (10 mg kg(-1) day(-1)), indicating that almost complete tachyphylaxis of this behaviour occurred with chronic 5-HT2C receptor agonist injection.",m-CPP,CHEMICAL,elicit,hypolocomotion,DISEASE
9605579,"Acute challenge with m-CPP following two weeks, treatment still attenuated food intake over the next four hours (by 43% and 30%, respectively from that on the previous day) in saline and m-CPP infusion groups, showing that only partial tolerance to 5-HT2C receptor agonist-induced hypophagia occurred.",m-CPP,CHEMICAL,attenuate food intake over,m-CPP,CHEMICAL
9605579,"Thus the hypophagia produced by m-CPP may involve activation of 5-HT2C receptors in the hypothalamus, where there is a greater receptor reserve or which are more resistant to agonist-induced down-regulation than 5-HT2C receptors in limbic areas (striatum and nucleus accumbens) mediating m-CPP-induced hypolocomotion.",hypophagia,DISEASE,mediate,m-CPP-induced hypolocomotion,DISEASE
35570696,LT3 may also be used in some thyroid cancer patients preparing for radioactive iodine therapy.,LT3,CHEMICAL,be used in,thyroid cancer patients,DISEASE
25709457,Levothyroxine therapy might be potentially useful to attenuate mood instability in this patient group.,Levothyroxine therapy,CHEMICAL,attenuate,mood instability,DISEASE
35255053,To investigate the efficacy and safety of cilostazol for atherosclerosis.,cilostazol,CHEMICAL,have the efficacy and safety for,atherosclerosis,DISEASE
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,according to difference in intervening measures to,clopidogrel,CHEMICAL
