ID,Label,Preferred label,Synonyms
NEW00026,CHEMICAL,serotonin 5-HT1A/1B receptor agonist eltoprazine,serotonin 5-HT1A/1B receptor agonist eltoprazine
D058917,CHEMICAL,Adenosine A2 Receptor Antagonists,adenosine A2A receptor antagonists|Adenosine A2B Receptor Antagonists|Adenosine A2A Receptor Antagonists
C539997,CHEMICAL,"2-(2-furanyl)-7-(2-(4-(4-(2-methoxyethoxy)phenyl)-1-piperazinyl)ethyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidine-5-amine [Supplementary Concept]",Pyrimidines|Triazoles|preladenant
NEW00030,CHEMICAL,chronic subordinate colony housing,chronic subordinate colony housing|CSC
C108242,CHEMICAL,"1-aminocyclopentane-1,3,4-tricarboxylic acid [Supplementary Concept]",Tricarboxylic Acids|Cyclopentanes|ACPT-I
NEW00032,CHEMICAL,mGluR5 inverse agonist 2-methyl-6-(phenylethynyl)pyridine,mGluR5 inverse agonist 2-methyl-6-(phenylethynyl)pyridine|MPEP
D007980,CHEMICAL,Levodopa,"3-Hydroxy-L-tyrosine|3 Hydroxy L tyrosine|L-3,4-Dihydroxyphenylalanine|L 3,4 Dihydroxyphenylalanine|Dopaflex|L Dopa|L-Dopa|Larodopa|Dopar|Levopa|L-3,4-dihydroxyphenylalanine"
D010300,DISEASE,Parkinson Disease,"Lewy Body Parkinson Disease|Lewy Body Parkinson's Disease|Parkinson's Disease|Paralysis Agitans|Idiopathic Parkinson's Disease|Primary Parkinsonism|Idiopathic Parkinson Disease|Parkinson's Disease, Lewy Body|Parkinson Disease, Idiopathic|Parkinson's disease|Parkinsonism, Primary|Parkinson's Disease, Idiopathic"
NEW00034,CHEMICAL,"dopamine precursor L-3,4-dihydroxyphenylalanine","L-DOPA|dopamine precursor L-3,4-dihydroxyphenylalanine"
C111599,CHEMICAL,istradefylline [Supplementary Concept],Purines|KW-6002|Istradefylline
D002110,CHEMICAL,Caffeine,"Vivarin|QuickPep|Percoffedrinol N|Caffedrine|1,3,7-Trimethylxanthine|Dexitac|Quick-Pep|No Doz|Coffeinum Purrum|Coffeinum N|caffeine|Durvitan|Percutaféine|Quick Pep"
D011619,BIOCHEMICAL,Psychotropic Drugs,"Drug, Psychotropic|Psychoactive Agents|Psychoactive Drug|Agents, Psychoactive|Psychopharmaceuticals|Psychoactive Drugs|Psychopharmaceutical|Drug, Psychoactive|Psychotropic Drug|Agent, Psychoactive|Drugs, Psychoactive|Drugs, Psychotropic|Psychoactive Agent|psychoactive drug"
NEW00035,CHEMICAL,adenosine A2A antagonists,adenosine A2A antagonists
NEW00039,BIOCHEMICAL,A2A antagonists,A2A antagonists
D000077285,CHEMICAL,Rimonabant,"SR 141716|Zimulti|SR 141716A|Rimonabant Hydrochloride|SR141716|rimonabant|SR-141716A|Acomplia|N-(Piperidin-1-yl)-5-(4-chlorophenyl)-1-(2,4-dichlorophenyl)-4-methyl-1H-pyrazole-3-carboxamide hydrochloride|SR141716A"
NEW00041,CHEMICAL,acid/kainate receptor-type neurotoxicity,acid/kainate receptor-type neurotoxicity
NEW00043,CHEMICAL,oxotremorine treatment,oxotremorine treatment
NEW00045,CHEMICAL,tramadol administration,tramadol administration
D003024,CHEMICAL,Clozapine,clozapine|Leponex|Clozaril
NEW00047,CHEMICAL,analgesic opioid prescription,analgesic opioid prescription|AOP
D009340,CHEMICAL,Nefopam,"Hydrochloride, Nefopam|Silentan Nefopam|Acupan|nefopam|Ajan|Nefopam Hydrochloride|Nefopam, Silentan|Fenazoxine"
D010098,CHEMICAL,Oxycodone,Theocodin|Oxycodone Hydrochloride|Pancodine|Oxycontin|Oxiconum|Dihydrohydroxycodeinone|Oxycone|Dihydrone|Dinarkon|Oxycodeinon|Eucodal|Oxycodone
D018847,CHEMICAL,Opioid Peptides,"Opiate Peptides|Opioid Peptide|Endogenous Opiates|Peptides, Opioid|Opiates, Endogenous|morphine|opioid|Peptide, Opioid|Peptides, Opiate"
NEW00057,MENTAL_HEALTH,CNS respiratory depression,CNS respiratory depression
D064829,CHEMICAL,Alcohol Abstinence,"alcohol|Ethanol Abstinence|Abstinence from Ethanols|Abstinence, Ethanol|Abstinence from Ethanol|Abstinence, Alcohol"
NEW00060,DISEASE,coma inadequate respirations,coma inadequate respirations
D018712,BIOCHEMICAL,"Analgesics, Non-Narcotic","Non-Opioid Analgesic|Analgesics, Non-Opioid|Analgesic, Nonopioid|Analgesics, Nonnarcotic|Non Opioid Analgesic|opioid analgesics|Non-Narcotic Analgesics|Nonnarcotic Analgesics|Analgesics, Nonopioid|Non-Opioid Analgesics|Non Opioid Analgesics|Analgesics, Non Narcotic|Opioid Analgesic, Non|Analgesic, Non-Opioid|Analgesic, Non Opioid|Nonopioid Analgesic|Nonopioid Analgesics"
D002047,CHEMICAL,Buprenorphine,"buprenorphine|Buprenex|RX 6029 M|6029-M|Temgésic|Buprex|Hydrochloride, Buprenorphine|Subutex|Prefin|RX-6029-M|RX6029M|6029M|6029 M|Buprenorphine Hydrochloride|Temgesic"
D013313,MENTAL_HEALTH,"Stress Disorders, Post-Traumatic","Neuroses, Post Traumatic|Posttraumatic Neuroses|Stress Disorder, Post-Traumatic|Moral Injury|Acute Post Traumatic Stress Disorder|Chronic Post-Traumatic Stress Disorder|Posttraumatic Stress Disorders|Post Traumatic Stress Disorders|Neuroses, Post-Traumatic|Injury, Moral|post-traumatic stress disorder|Posttraumatic Stress Disorder|Post-Traumatic Neuroses|Post-Traumatic Stress Disorders|Post-Traumatic Stress Disorder|Acute Post-Traumatic Stress Disorder|Stress Disorders, Posttraumatic|Chronic Post Traumatic Stress Disorder|Stress Disorder, Post Traumatic|Delayed Onset Post Traumatic Stress Disorder|Post Traumatic Stress Disorder|PTSD|Moral Injuries|Delayed Onset Post-Traumatic Stress Disorder|Neuroses, Posttraumatic|Stress Disorder, Posttraumatic"
NEW00065,MENTAL_HEALTH,chronic stress,chronic stress
NEW00066,CHEMICAL,antidepressant medications,antidepressant medications
NEW00067,BIOCHEMICAL,sialidase inhibitor oseltamivir,sialidase inhibitor oseltamivir
NEW00068,DISEASE,A. glehni extract,A. glehni extract
NEW00070,NUTRITION,phenylpropanoid moieties,phenylpropanoid moieties
NEW00072,CHEMICAL,water-ethanol extract,water-ethanol extract
C522975,CHEMICAL,p-coumaric acid glucoside [Supplementary Concept],p-coumaric acid|Coumaric Acids|Glucosides
D018726,MENTAL_HEALTH,Anti-Dyskinesia Agents,"Dyskinesia|Agents, Anti-Dyskinesia|Disorder Agents, Movement|Agents, Movement Disorder|Anti Dyskinesia Agents|Movement Disorder Agents"
D011899,CHEMICAL,Ranitidine,"AH-19065|Biotidin|ranitidine|N (2-(((5-((Dimethylamino)methyl)-2-furanyl)methyl)thio)ethyl)-N'-methyl-2-nitro-1,1-ethenediamine|Hydrochloride, Ranitidine|Ranitidin|Zantac|Sostril|Zantic|AH19065|Ranisen|AH 19065|Ranitidine Hydrochloride"
NEW00074,BIOCHEMICAL,histamine receptor blocker therapy,histamine receptor blocker therapy
NEW00075,CHEMICAL,ethanol E. senticosus root extract,ethanol E. senticosus root extract
C000713177,CHEMICAL,Siberian ginseng root [Supplementary Concept],Eleutherococcus|Eleutherococcus senticosus|Plant Extracts
D018763,MENTAL_HEALTH,Muscle Fatigue,"fatigue|Muscular Fatigue|Fatigue, Muscle|Fatigue, Muscular"
NEW00077,BIOCHEMICAL,Serotonergic antagonists,Serotonergic antagonists
NEW00078,BIOCHEMICAL,alpha-adrenoceptor antagonists,alpha-adrenoceptor antagonists
NEW00079,CHEMICAL,Phosphodiesterase isoenzymes 5 inhibitors,PDE5-Is|Phosphodiesterase isoenzymes 5 inhibitors
NEW00084,BIOCHEMICAL,alpha adrenoceptor antagonists,alpha adrenoceptor antagonists
NEW00086,BIOCHEMICAL,α1-adrenoceptor antagonists,α1-adrenoceptor antagonists
NEW00089,CHEMICAL,quinazoline based compounds,quinazoline based compounds
D064751,CHEMICAL,Ammonium Compounds,compounds|Ammonium|doxazosin
NEW00091,CHEMICAL,α-blockade,α-blockade
NEW00092,BIOCHEMICAL,Muscarinic receptor antagonists,Muscarinic receptor antagonists
D003583,CHEMICAL,Cytokinins,cytokinins|Cytokinin
D014968,CHEMICAL,Xanthine Dehydrogenase,"Oxidoreductase, Xanthine|Purine Hydroxylase I|Xanthine Oxidoreductase|Dehydrogenase, Xanthine|xanthine dehydrogenase"
D050876,CHEMICAL,Sulfite Oxidase,"Oxidase, Sulphite|sulphite oxidase|Sulphite Oxidase|Oxidase, Sulfite"
NEW00098,CHEMICAL,Activity-based anorexia,Activity-based anorexia|ABA
NEW00101,NUTRITION,Trans Fatty Acid TFA intake,Trans Fatty Acid TFA intake
D019967,DISEASE,Schizophrenia Spectrum and Other Psychotic Disorders,Schizophrenia and Disorders with Psychotic Features|psychotic disorders
NEW00102,CHEMICAL,MSUD metabolites,MSUD metabolites
NEW00104,CHEMICAL,brain kynurenic acid levels,brain kynurenic acid levels
NEW00105,CHEMICAL,kynurenic acid production,kynurenic acid production
NEW00106,CHEMICAL,kynurenine pathway,kynurenine pathway
D000597,CHEMICAL,"Amino Acids, Branched-Chain","BCAA|Acid, Branched-Chain Amino|Branched-chain amino acids|Amino Acid, Branched-Chain|Branched-Chain Amino Acids|Acids, Branched-Chain Amino|Branched-Chain Amino Acid|Amino Acids, Branched Chain|Branched Chain Amino Acid"
D050495,CHEMICAL,Vesicular Inhibitory Amino Acid Transport Proteins,"Transporter Proteins, VGAT|Vesicular Inhibitory Amino Acid Transporter Proteins|Vesicular GABA Glycine Transporter Proteins|Vesicular GABA-Glycine Transporter Proteins|Transporter Proteins, VIAAT|VIAAT Transporter Proteins|Vesicular GABA Glycine Transport Proteins|VGAT Transporter Proteins|Vesicular GABA-Glycine Transport Proteins|amino acid transport"
NEW00107,DISEASE,neurological sequelae,neurological sequelae
NEW00108,CHEMICAL,BCAA metabolism,BCAA metabolism
NEW00109,CHEMICAL,Objectives Valproic acid,Objectives Valproic acid|VPA
D016883,DISEASE,Diabetic Ketoacidosis,"Ketoacidosis, DKA Diabetic|Ketoses, Diabetic|Ketoacidosis, Diabetic|Acidosis, Diabetic|Diabetic Ketoses|Diabetic ketoacidosis|Diabetic Ketosis|Diabetic Acidosis|Ketoacidoses, Diabetic|DKA Diabetic Ketoacidoses|DKA Diabetic Ketoacidosis|Diabetic Ketoacidoses|Diabetic Ketoacidosis, DKA|Acidoses, Diabetic|Ketosis, Diabetic|Diabetic Acidoses"
D003922,DISEASE,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Sudden-Onset|Type 1 Diabetes|Diabetes, Type 1|Diabetes Mellitus, Insulin-Dependent, 1|Diabetes Mellitus, Insulin Dependent|Diabetes, Autoimmune|Juvenile-Onset Diabetes|Diabetes Mellitus, Ketosis-Prone|Type 1 Diabetes Mellitus|Diabetes Mellitus, Juvenile-Onset|Insulin-Dependent Diabetes Mellitus 1|IDDM|Diabetes Mellitus, Insulin-Dependent|Brittle Diabetes Mellitus|Insulin-Dependent Diabetes Mellitus|Diabetes Mellitus, Type I|Ketosis-Prone Diabetes Mellitus|Diabetes Mellitus, Juvenile Onset|Insulin Dependent Diabetes Mellitus 1|Diabetes Mellitus, Brittle|Diabetes Mellitus, Sudden Onset|Diabetes, Juvenile-Onset|insulin-dependent diabetes mellitus|Juvenile-Onset Diabetes Mellitus|Diabetes Mellitus, Ketosis Prone|Autoimmune Diabetes|Juvenile Onset Diabetes|Sudden-Onset Diabetes Mellitus"
D010650,CHEMICAL,Phenylalanine Ammonia-Lyase,"Ammonia-lyase, Phenylalanine-Tyrosine|ammonia|Phenylalanine-Tyrosine Ammonia-lyase|Phenylalanine Tyrosine Ammonia lyase|Ammonia-Lyase, Phenylalanine|Phenylalanine Ammonia Lyase"
D056806,CHEMICAL,"Urea Cycle Disorders, Inborn","Disorder, Urea Cycle|Urea cycle disorders|Disorders, Urea Cycle|Urea Cycle Disorder|Urea Cycle Disorders|Inborn Urea Cycle Disorder"
D043202,DISEASE,"Steroid Metabolism, Inborn Errors","Congenital Errors of Steroid Metabolism|Inborn Errors of Steroid Metabolism|inborn errors|Steroid Metabolic Diseases, Inborn"
C075773,CHEMICAL,4-phenylbutyric acid [Supplementary Concept],Phenylbutyrates|Sodium 4-phenylbutyrate
NEW00118,CHEMICAL,BCAA/AAA molar ratio,BCAA/AAA molar ratio
D000592,CHEMICAL,"Amino Acid Metabolism, Inborn Errors","Amino Acid Metabolism Disorders, Inborn|Congenital Amino Acidopathy|Inherited Errors of Amino Acid Metabolism|Amino Acid Metabolism, Inherited Disorders|Amino Acidopathies, Inborn|amino acid metabolism|Inborn Amino Acidopathy|Inborn Errors, Amino Acid Metabolism|Inborn Amino Acidopathies|Amino Acid Metabolism, Inborn Error|Amino Acidopathy, Congenital|Amino Acidopathies, Congenital|Amino Acidopathy, Inborn|Congenital Amino Acidopathies"
D014635,CHEMICAL,Valproic Acid,"Depakine|Sodium Valproate|Valproic Acid, Sodium Salt (2:1)|Calcium Valproate|Valproate Sodium|Magnesium Valproate|Valproate|Depakene|2-Propylpentanoic Acid|Propylisopropylacetic Acid|Valproate Calcium|Depakote|2 Propylpentanoic Acid|Divalproex Sodium|Semisodium Valproate|Dipropyl Acetate|Convulsofin|Divalproex|Vupral|Ergenyl"
NEW00122,MENTAL_HEALTH,decreased anxiety,decreased anxiety
NEW00012,MENTAL_HEALTH,unlearned fear,unlearned fear|anxiety
D000374,DISEASE,Aggression,Aggression|Aggressions
NEW00130,CHEMICAL,plasma amino acid levels,plasma amino acid levels
D005222,MENTAL_HEALTH,Mental Fatigue,"Fatigue, Mental|mental fatigue"
D000544,MENTAL_HEALTH,Alzheimer Disease,"Senile Dementia, Acute Confusional|Dementia, Alzheimer-Type (ATD)|Familial Alzheimer Diseases (FAD)|Familial Alzheimer Disease (FAD)|Presenile Alzheimer Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Sclerosis|Dementia, Presenile|Senile Dementia, Alzheimer Type|Dementia, Alzheimer Type|Alzheimer Type Senile Dementia|Dementia, Senile|Alzheimer Type Dementia|Alzheimer's Diseases|Presenile Dementia|Alzheimer Disease, Late Onset|Alzheimer Diseases|Alzheimers Diseases|Alzheimer Syndrome|Alzheimer-Type Dementia (ATD)|Focal Onset Alzheimer's Disease|Early Onset Alzheimer Disease|Alzheimer Type Dementia (ATD)|Primary Senile Degenerative Dementia|Acute Confusional Senile Dementia|Late Onset Alzheimer Disease|Dementia, Alzheimer|Sclerosis, Alzheimer|Alzheimer disease|Dementia, Primary Senile Degenerative|Alzheimer Disease, Early Onset|Alzheimer Disease, Familial (FAD)|Senile Dementia|Alzheimer's Disease|Alzheimer Dementias|Alzheimer Dementia"
D000755,DISEASE,"Anemia, Sickle Cell","Sickle Cell Disorder|Sickle Cell Anemias|Sickling Disorder Due to Hemoglobin S|Sickle Cell Disorders|Sickle Cell Diseases|Disease, Hemoglobin S|Hemoglobin S Disease|Cell Diseases, Sickle|Cell Disease, Sickle|Anemias, Sickle Cell|Sickle Cell Disease|Sickle Cell Anemia|Cell Disorder, Sickle|HbS Disease|Hemoglobin S Diseases|Cell Disorders, Sickle|s disease"
D000437,MENTAL_HEALTH,Alcoholism,"Alcohol Addiction|Intoxication, Chronic Alcoholic|Alcoholic Intoxication, Chronic|Abuse, Alcohol|alcohol dependence|Chronic Alcoholic Intoxication|Ethanol Abuse|Alcohol Use Disorders|Alcohol Abuse|Addiction, Alcohol|Use Disorders, Alcohol|Abuse, Ethanol|Alcohol Use Disorder|Dependence, Alcohol|Alcohol Dependence"
D000319,BIOCHEMICAL,Adrenergic beta-Antagonists,"beta Adrenoceptor Antagonists|Antagonists, beta-Adrenoceptor|Antagonist, beta-Adrenoceptor|Adrenergic beta-Receptor Blockader|Antagonist, beta-Adrenergic|beta-Adrenergic Blocking Agent|beta Adrenergic Blocking Agent|Blockader, beta-Adrenergic Receptor|Adrenergic beta-Antagonist|Agents, beta-Adrenergic Blocking|Blocker, beta-Adrenergic|beta-Adrenergic Antagonist|beta-Adrenergic Receptor Blockader|beta-Adrenoceptor Antagonists|beta Adrenoceptor Antagonist|Receptor Blockaders, beta-Adrenergic|beta-Receptor Blockader, Adrenergic|Blocking Agent, beta-Adrenergic|Adrenergic beta Antagonist|beta-Adrenergic Antagonists|beta-adrenoceptor antagonists|beta-Adrenergic Blocking Agents|beta-Adrenergic Blockers|Agent, beta-Adrenergic Blocking|beta-Antagonist, Adrenergic|Blockaders, beta-Adrenergic Receptor|Blockers, beta-Adrenergic|beta-Adrenergic Blocker|beta Adrenergic Receptor Blockader|beta-Antagonists, Adrenergic|Adrenergic beta-Receptor Blockaders|Blocking Agents, beta-Adrenergic|Blockader, Adrenergic beta-Receptor|beta Adrenergic Antagonists|beta Adrenergic Antagonist|Adrenergic beta Receptor Blockaders|Blockaders, Adrenergic beta-Receptor|beta-Blockers, Adrenergic|beta Blockers, Adrenergic|Antagonists, beta-Adrenergic|beta Adrenergic Blocking Agents|Adrenergic beta Antagonists|beta Adrenergic Blockers|beta-Adrenergic Receptor Blockaders|Adrenergic beta-Blockers|Receptor Blockader, beta-Adrenergic|beta Adrenergic Receptor Blockaders|Adrenergic beta Receptor Blockader|beta Adrenergic Blocker|beta-Adrenoceptor Antagonist|beta-Receptor Blockaders, Adrenergic"
D008790,CHEMICAL,Metoprolol,Spesicor|Beloc-Duriles|Beloc Duriles|Lopressor|Spesikor|H 93 26|Toprol|CGP-2175|Metoprolol Succinate|metoprolol|Betaloc-Astra|H 9326|CGP 2175|H 93-26|Toprol XL|Toprol-XL|Betalok|Metoprolol Tartrate|CGP2175|Betaloc|Betaloc Astra|Metoprolol CR XL|Metoprolol CR-XL|Seloken
D009248,CHEMICAL,Nadolol,Solgol|Corgard|SQ 11725|SQ11725|nadolol|SQ-11725
D011433,CHEMICAL,Propranolol,"Obsidan|Anaprilin|propranolol|Propanolol|AY20694|AY 20694|Betadren|Propranolol Hydrochloride|Avlocardyl|Rexigen|Dexpropranolol|Hydrochloride, Propranolol|Inderal|Anapriline|Obzidan|Dociton|AY-20694"
D065546,BIOCHEMICAL,Drug Liberation,"Dissolution, Drug|Liberation, Drug|drug|Drug Release|Release, Drug|Drug Dissolution"
NEW00137,BIOCHEMICAL,Mood stabilizers,Mood stabilizers
D050484,CHEMICAL,Norepinephrine Plasma Membrane Transport Proteins,"Sodium Dependent Noradrenaline Transporter|Transporter, Noradrenaline|Transporters, Noradrenaline-Specific Neurotransmitter|Noradrenaline Transporter|Norepinephrine Plasma Membrane Transporters|Neurotransmitter Transporters, Noradrenaline Specific|Noradrenaline-Specific Neurotransmitter Transporters|Transporter, Norepinephrine|Sodium-Dependent Noradrenaline Transporter|Noradrenaline Transporter, Sodium-Dependent|Noradrenaline Plasma Membrane Transport Proteins|NE|Neuronal NET Protein|Norepinephrine Transporter|norepinephrine|Transporter Protein, Norepinephrine|NET Protein, Neuronal|Norepinephrine Plasma Membrane Transporter Proteins|SLC6A2 Protein|Solute Carrier Family 6 Member 2|Neurotransmitter Transporters, Noradrenaline-Specific|Norepinephrine Transporter Protein"
D001569,CHEMICAL,Benzodiazepines,Benzodiazepine Compounds|benzodiazepines|Benzodiazepine
D020003,CHEMICAL,1-Octanol,"n-Octanol|Alcohol, n-Octyl|1-octanol|n-Octyl Alcohol|1 Octanol|n Octyl Alcohol|n Octanol"
NEW00141,CHEMICAL,dimethoxymethyl-diphenyl-barbituric acid,dimethoxymethyl-diphenyl-barbituric acid
D012978,CHEMICAL,Sodium Oxybate,"Oxybate Sodium|Xyrem|Oxybate, Sodium|Sodium gamma Hydroxybutyrate|Somsanit|sodium oxybate|gamma Hydroxybutyrate|Sodium Oxybutyrate|4 Hydroxybutyrate Sodium|Oxybutyrate, Sodium|gamma-Hydroxybutyrate|4-Hydroxybutyrate Sodium|Sodium gamma-Hydroxybutyrate"
D013956,BIOCHEMICAL,Antithyroid Agents,"Goitrogen|Drugs, Antithyroid|Antithyroid Drug|Goitrogens|Agents, Antithyroid|Antithyroid Effect|Effect, Antithyroid|Antithyroid Effects|Antithyroid Agent|Effects, Antithyroid|Antithyroid drugs|Drug, Antithyroid|Agent, Antithyroid|Thyroid Antagonists|Antithyroid Drugs|Antagonists, Thyroid"
D001523,DISEASE,Mental Disorders,"Mental Disorders, Severe|psychiatric disorders|Psychiatric Illnesses|Psychiatric Disorder|Psychiatric Disorders|Mental Illnesses|Diagnosis, Psychiatric|Psychiatric Illness|Illness, Mental|Mental Disorder|Psychiatric Diseases|Mental Disorder, Severe|Severe Mental Disorder|Psychiatric Diagnosis|Psychiatric Disease|Mental Illness|Behavior Disorders|Severe Mental Disorders"
D059411,DISEASE,Lower Urinary Tract Symptoms,Lower Urinary Tract Symptom|LUTS|lower urinary tract symptoms
D000068577,CHEMICAL,Nebivolol,"Hydrochloride, Nebivolol|Nebivolol Hydrochloride|67555, R|R67555|Alpha,Alpha'-(Iminobis(Methylene))bis(6-Fluoro-3,4-dihydro)-2H-1-benzopyran-2-methanol|Bystolic|Nebilet|R-67555|nebivolol|R 67555|Lobivon|Silostar"
NEW00145,DISEASE,male hypertensive patients,male hypertensive patients
D058669,CHEMICAL,Adrenergic alpha-2 Receptor Antagonists,"alpha(2)-antagonists|alpha2-Adrenergic Antagonists|Adrenergic alpha-2 Receptor Blockers|alpha2-Antagonists, Adrenergic|Antagonists, Adrenergic alpha-2|Adrenergic alpha 2 Receptor Blockers|alpha-2 Adrenergic Blocking Agents|Adrenergic alpha 2 Antagonists|Adrenergic alpha 2 Receptor Antagonists|Antagonists, alpha2-Adrenergic|Adrenergic alpha2-Antagonists|alpha-2 Antagonists, Adrenergic|Adrenergic alpha2 Antagonists|Adrenergic alpha-2 Antagonists|alpha2 Adrenergic Antagonists|alpha 2 Adrenergic Blocking Agents"
NEW00149,CHEMICAL,Nocturnal urinary melatonin excretion,Nocturnal urinary melatonin excretion
NEW00150,CHEMICAL,Nightly melatonin excretion,Nightly melatonin excretion
NEW00152,BIOCHEMICAL,alpha(2)-adrenoceptor agonists,alpha(2)-adrenoceptor agonists
D017367,CHEMICAL,Serotonin Uptake Inhibitors,"5 HT Uptake Inhibitor|5-HT Uptake Inhibitors|Inhibitors, 5-Hydroxytryptamine Uptake|Uptake Inhibitors, 5 Hydroxytryptamine|Selective Serotonin Reuptake Inhibitors|Uptake Inhibitors, 5 HT|Uptake Inhibitor, 5-HT|Inhibitor, Serotonin Uptake|Reuptake Inhibitor, Serotonin|Uptake Inhibitors, 5-Hydroxytryptamine|Uptake Inhibitor, Serotonin|5-Hydroxytryptamine Uptake Inhibitors|5-HT Uptake Inhibitor|Inhibitors, 5-HT Uptake|Inhibitors, 5 HT Uptake|Reuptake Inhibitors, Serotonin|Uptake Inhibitors, 5-HT|5 Hydroxytryptamine Uptake Inhibitor|Serotonin Reuptake Inhibitors|Uptake Inhibitor, 5-Hydroxytryptamine|Inhibitor, 5-Hydroxytryptamine Uptake|5 HT Uptake Inhibitors|Inhibitors, Serotonin Uptake|Inhibitors, Serotonin Reuptake|Uptake Inhibitors, Serotonin|5-Hydroxytryptamine Uptake Inhibitor|Serotonin Reuptake Inhibitor|Serotonin Uptake Inhibitor|Selective serotonin reuptake inhibitors|Selective Serotonin Reuptake Inhibitor|SSRIs|Inhibitors, 5 Hydroxytryptamine Uptake|Inhibitor, 5-HT Uptake|Inhibitor, Serotonin Reuptake|5 Hydroxytryptamine Uptake Inhibitors"
D019167,CHEMICAL,Appetite Stimulants,"Drugs, Appetite-Stimulating|Appetite Stimulating Drugs|Appetite-Stimulating Drugs|stimulants|Stimulants, Appetite"
D019964,MENTAL_HEALTH,Mood Disorders,"Disorders, Affective|Affective Disorder|Disorder, Mood|mood disorders|Affective Disorders|Disorders, Mood|Disorder, Affective|Mood Disorder"
D008803,CHEMICAL,Mianserin,"Hydrochloride, Mianserin|Mianserin Hydrochloride|Monohydrochloride, Mianserin|Org GB 94|mianserin|Lerivon|Tolvon|Mianserin Monohydrochloride"
