PMID,Sentence,Named-Entity,Result
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,IC87201,1
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,allodynia,1
26071110,IC87201 and ZL006 preferentially suppressed phase 2A pain behavior in the formalin test and suppressed allodynia induced by intraplantar complete Freund's adjuvant administration.,2A pain behavior,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,Female sexual arousal disorder,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,estrogen replacement therapy,1
16871136,Female sexual arousal disorder is treated with estrogen replacement therapy when indicated or vaginal lubricants.,vaginal lubricants,1
7806692,Gepirone is a novel antidepressant that holds promise for the treatment of atypical depression and that may be of heuristic value because of its relatively specific actions on the serotonergic system.,Gepirone,1
7806692,Gepirone is a novel antidepressant that holds promise for the treatment of atypical depression and that may be of heuristic value because of its relatively specific actions on the serotonergic system.,novel antidepressant,0
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",OUD,1
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",full mu-receptor agonist opioid,0
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",mean morphine equivalent dose,0
34442024,"Forty-three participants with CNCP and OUD were converted from a full mu-receptor agonist opioid (mean morphine equivalent dose: 328.3 mg) to BuNa, in an inpatient setting.",BuNa,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",Muscimol,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",irritability,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",GABA-a receptor agonist,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",clonidine,1
2557712,"Muscimol (0.5-2 mg/kg, i.p.), a GABA-a receptor agonist, not only markedly potentiated clonidine (20 mg/kg i.p.)-induced aggressive behaviors but also elicited characteristic behaviors such as gnawing, reinforced irritability, and self-mutilation.",aggressive behaviors,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",Pitolisant,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",cataplexy,1
33667687,"Pitolisant was efficacious in reducing excessive daytime sleepiness and cataplexy compared with placebo, and it was well-tolerated in patients with severe narcolepsy symptoms as compared with modafinil.",excessive daytime sleepiness,1
30755087,Non-medical use of benzodiazepines is rare among patients with anxiety disorders.,benzodiazepines,1
30755087,Non-medical use of benzodiazepines is rare among patients with anxiety disorders.,anxiety disorders,1
29438455,"Furthermore, the meta-analysis of prospective studies conducted in 4137 participants indicated that perinatal suboptimal vitamin D concentrations are significantly associated with a higher risk of ADHD in later life (RR: 1.40; 95% CI: 1.09, 1.81; I2 = 0.0%).",perinatal suboptimal vitamin D concentrations,1
29438455,"Furthermore, the meta-analysis of prospective studies conducted in 4137 participants indicated that perinatal suboptimal vitamin D concentrations are significantly associated with a higher risk of ADHD in later life (RR: 1.40; 95% CI: 1.09, 1.81; I2 = 0.0%).",ADHD,1
35025861,"However, due to the synergistic effect between diabetic pathology and neuroinflammation, and the prothrombotic profile in patients with diabetes, whether vitamin D is associated with risk of dementia among patients with diabetes is unclear.",vitamin D,1
35025861,"However, due to the synergistic effect between diabetic pathology and neuroinflammation, and the prothrombotic profile in patients with diabetes, whether vitamin D is associated with risk of dementia among patients with diabetes is unclear.",dementia,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,Haloperidol,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,psychiatric disorders,1
22750274,Haloperidol is the most widely used antipsychotic drug in the treatment of psychiatric disorders.,used antipsychotic drug,1
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",Li+,1
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",K+ sheep,0
16734749,"Li+, used in the treatment of manic depression, stimulates volume-sensitive K+-Cl- COT of low K+ sheep red blood cells at cellular concentrations 3 mM, causes cell swelling, and appears to regulate K+-Cl- COT through a protein kinase C-dependent pathway.",volume-sensitive K+-Cl- COT,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",T2DM,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",verapamil treatment,1
34480721,"Although several retrospective studies have shown a lower incidence of T2DM with verapamil treatment, no prospective intervention studies have determined the efficacy of this drug in patients with T2DM.",drug,0
33644980,Heavy alcohol drinking is associated with pancreatitis.,alcohol drinking,1
33644980,Heavy alcohol drinking is associated with pancreatitis.,pancreatitis,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,Vitamin E,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,neuronal loss,1
10064385,Vitamin E completely ameliorated neuronal loss following 400 and 800 mg/dl ethanol.,ethanol,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",Histamine H3 receptors,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",non-histamine neurons,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",acetylcholine,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",norepinephrine,1
22519922,"Histamine H3 receptors reside on non-histamine neurons and regulate other neurotransmitters (e.g. acetylcholine, noradrenaline [norepinephrine]) suggesting that H3 antagonists have the potential to improve attention and impulsivity.",noradrenaline,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",Antimanic treatments,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",genuine mood stabiliser,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",lithium,1
32883138,"Antimanic treatments are unlikely to help symptoms of depression but an exception to this rule would be a genuine mood stabiliser, such as lithium.",depression,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",THC,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",schizophrenic crises,1
32381378,"Some psychological effects of THC may be acute (altered time and space perception, sensory disability, decreased vigilance, mood and dissociative disorders, hallucinations and delirium, impaired learning and memory, impaired cognitive and motor performance, panic attacks and anxiety) or chronic (lack of motivation, disorganisation of thoughts, increase in frequency and severity of schizophrenic crises).",dissociative,0
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",alcohol,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",skin cancer,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor size,1
34562138,"A lymph node exam was documented in 14 of the 63 patients (22%), and statistical analysis showed that among all variables (age, gender, tumor size, tumor stages, tobacco or alcohol use, or history of skin cancer), only the size of the tumor correlated positively with a lymph node examination (RRE 1.15 [95% CI 1.06-1.25], p < 0.001).",tumor stages,1
15198914,"It is possible that the most sensitive manifestation of pesticide neurotoxicity is a general malaise lacking in specificity and related to mild cognitive dysfunction, similar to that described for Gulf War syndrome.",pesticide neurotoxicity,1
15198914,"It is possible that the most sensitive manifestation of pesticide neurotoxicity is a general malaise lacking in specificity and related to mild cognitive dysfunction, similar to that described for Gulf War syndrome.",mild cognitive dysfunction,1
27445967,"The opposite interplay between peroxisome proliferator-activated receptor gamma (PPAR gamma) and Wnt/beta-catenin signaling has led to the categorization of neurodegenerative diseases (NDs) as either NDs in which PPAR gamma is downregulated while the canonical Wnt/beta-catenin pathway is upregulated [amyotrophic lateral sclerosis (ALS), Parkinson's disease, Huntington's disease, multiple sclerosis, Friedreich's ataxia] or NDs in which PPAR gamma is upregulated while the canonical Wnt/beta-catenin signaling is downregulated (bipolar disorder, schizophrenia, Alzheimer's disease).",PPAR gamma,1
27445967,"The opposite interplay between peroxisome proliferator-activated receptor gamma (PPAR gamma) and Wnt/beta-catenin signaling has led to the categorization of neurodegenerative diseases (NDs) as either NDs in which PPAR gamma is downregulated while the canonical Wnt/beta-catenin pathway is upregulated [amyotrophic lateral sclerosis (ALS), Parkinson's disease, Huntington's disease, multiple sclerosis, Friedreich's ataxia] or NDs in which PPAR gamma is upregulated while the canonical Wnt/beta-catenin signaling is downregulated (bipolar disorder, schizophrenia, Alzheimer's disease).",neurodegenerative diseases,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",Eplerenone,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",potassium,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",renal retention,1
15733814,"Eplerenone and spironolactone increase natriuresis and cause renal retention of potassium when plasma aldosterone is high, i.e., both agents are facultative diuretics.",spironolactone,1
27221098,"On admission, gliclazide was initiated due to her hyperglycaemia, which we attributed to maturity onset diabetes of the young.",gliclazide,1
27221098,"On admission, gliclazide was initiated due to her hyperglycaemia, which we attributed to maturity onset diabetes of the young.",hyperglycaemia,1
30716372,"The human antimicrobial and immunomodulatory peptide LL-37 is ubiquitously expressed and secreted by epithelial cells of mucosal surfaces including the gastrointestinal tract, the primary absorption site of orally administered drugs and food components.",human antimicrobial peptide,1
30716372,"The human antimicrobial and immunomodulatory peptide LL-37 is ubiquitously expressed and secreted by epithelial cells of mucosal surfaces including the gastrointestinal tract, the primary absorption site of orally administered drugs and food components.",gastrointestinal tract,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",endocrine abnormalities,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",endocrine perturbations,1
34082137,"Interventions with normalization of the endocrine perturbations are followed by clear improvements of the multiple abnormalities in both clinical, experimental, cellular and molecular studies, suggesting that the pathogenesis of abdominal preponderance of body fat and its endocrine, anthropometric and metabolic abnormalities are indeed consequences of the endocrine abnormalities identified.",multiple abnormalities,1
30655633,"For the treatment of Chlamydial prostatitis macrolides were shown to be more effective than fluoroquinolones, whereas no differences were observed in microbiological and clinical efficacy between macrolides and tetracyclines for the treatment of infections caused by intracellular pathogens.",macrolides,1
30655633,"For the treatment of Chlamydial prostatitis macrolides were shown to be more effective than fluoroquinolones, whereas no differences were observed in microbiological and clinical efficacy between macrolides and tetracyclines for the treatment of infections caused by intracellular pathogens.",tetracyclines,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,drug response,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,substance abuse,1
33551122,More complex genetic variations in drug response are important in alcoholism and possibly other forms of substance abuse.,alcoholism,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,Hyperammonemia,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,pregnenolone,1
23227932,Hyperammonemia completely modifies the effects of pregnanolone and pregnenolone.,pregnanolone,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,Quinolones,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,several infectious diseases,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,urinary tract infections,1
21585220,Quinolones are a class of antibacterial agents for the treatment of several infectious diseases (e.g. urinary and respiratory tract infections).,antibacterial agents,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",Fenamidone,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",yolk sac edema,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",pericardial edema,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",spinal curvature,1
34794025,"Fenamidone negatively affected development of zebrafish embryos, causing a delay of hatching time at concentrations of 2.5 and 5 μM. Fenamidone caused morphological deformities in zebrafish, including pericardial edema, yolk sac edema, tail deformities, and spinal curvature.",μM. Fenamidone,0
34153313,"The kappa opioid receptor agonist U50,488H produces a dose-dependent relief of this mechanical hypersensitivity, regardless of the cycle phase.","agonist U50,488H",0
34153313,"The kappa opioid receptor agonist U50,488H produces a dose-dependent relief of this mechanical hypersensitivity, regardless of the cycle phase.",mechanical hypersensitivity,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hypothyroidism,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hepatic encephalopathy,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",liver disease,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",hepatic decompensation,1
17372808,"In patients with an elevated ammonia level, altered mental status, and liver disease, who do not have a clear inciting event for liver disease decompensation, overwhelming evidence of hepatic decompensation, or who do not respond to appropriate therapy for hepatic encephalopathy, hypothyroidism should be considered and evaluated.",elevated ammonia level,1
32051627,Clozapine is an antipsychotic drug which is used in the treatment of therapy-resistant schizophrenia.,Clozapine,1
32051627,Clozapine is an antipsychotic drug which is used in the treatment of therapy-resistant schizophrenia.,antipsychotic drug,1
26491593,Palmitoylethanolamide could be an effective treatment for autism syndrome.,Palmitoylethanolamide,1
26491593,Palmitoylethanolamide could be an effective treatment for autism syndrome.,autism syndrome,1
25122509,Alcohol withdrawal is clearly associated with severe anxiety symptoms.,Alcohol withdrawal,1
25122509,Alcohol withdrawal is clearly associated with severe anxiety symptoms.,severe anxiety symptoms,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",stearic acid,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",body-weight gain,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",Fatty acids,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",palmitoleic acid,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",oleic acid,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",linoleic acid,1
34072024,"Fatty acids, such as palmitoleic acid (0.14%), palmitic acid (21.42%), linoleic acid (11.02%), oleic acid (59.97%), and stearic acid (7.44%), were identified as constituents of SBHX, producing significant anxiolytic-like effects and preventing body-weight gain in mice receiving the hypercaloric diet without altering their water or food consumption.",palmitic acid,1
31624248,"In addition, chronic stress increased the expression of VEGF, MMP-2, MMP-7 and MMP-9 in transplanted tumour tissue, and catecholamine hormones enhanced the expression of metastasis-related proteins.",chronic stress,1
31624248,"In addition, chronic stress increased the expression of VEGF, MMP-2, MMP-7 and MMP-9 in transplanted tumour tissue, and catecholamine hormones enhanced the expression of metastasis-related proteins.",tumour tissue,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",METH,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",psychiatric symptoms,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",delusions,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",hallucinations,1
21886573,"Chronic use of METH causes psychiatric symptoms, such as hallucinations and delusions, and long-term cognitive deficits, which are indistinguishable from paranoid schizophrenia.",long-term cognitive deficits,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",cancer chemotherapeutic drug,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",paclitaxel,1
28237807,"Carboplatin, another cancer chemotherapeutic drug that is often used in combination with paclitaxel, sensitized mice to the nociceptive effects of paclitaxel.",Carboplatin,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",impulsivity,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",ADHD,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",drug addiction,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",mania,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",personality disorders,1
22134476,"High levels of impulsivity are a core symptom of psychiatric disorders such as ADHD, mania, personality disorders and drug addiction.",psychiatric disorders,1
22832356,These findings may have therapeutic implications for the clinical use of HDAC inhibitors in psychiatric disorders.,HDAC inhibitors,1
22832356,These findings may have therapeutic implications for the clinical use of HDAC inhibitors in psychiatric disorders.,psychiatric disorders,1
24036059,"The chronic administration of high doses of dexamethasone (DEX), a synthetic glucocorticoid receptor agonist, impairs long-term memory and motor coordination, reduces body weight and induces mortality in mice.",dexamethasone,1
24036059,"The chronic administration of high doses of dexamethasone (DEX), a synthetic glucocorticoid receptor agonist, impairs long-term memory and motor coordination, reduces body weight and induces mortality in mice.",memory motor coordination,0
33739701,"Class I, III, or bepridil as class IV excepting lidocaine and mexiletine are used to prevent paroxysmal atrial fibrillation.",bepridil,1
33739701,"Class I, III, or bepridil as class IV excepting lidocaine and mexiletine are used to prevent paroxysmal atrial fibrillation.",paroxysmal atrial fibrillation,1
32886223,Maternal Vitamin B12 deficiency during pregnancy is associated with offspring neuropsychiatric disorders.,Maternal Vitamin B12 deficiency,1
32886223,Maternal Vitamin B12 deficiency during pregnancy is associated with offspring neuropsychiatric disorders.,offspring neuropsychiatric disorders,1
34213723,"MP, a dopamine reuptake inhibitor, helps manage attention-deficit hyperactivity disorder (ADHD) and is abused as a cognitive enhancer; it has a reduced addiction liability.",dopamine reuptake inhibitor,1
34213723,"MP, a dopamine reuptake inhibitor, helps manage attention-deficit hyperactivity disorder (ADHD) and is abused as a cognitive enhancer; it has a reduced addiction liability.",ADHD,1
34213723,"MP, a dopamine reuptake inhibitor, helps manage attention-deficit hyperactivity disorder (ADHD) and is abused as a cognitive enhancer; it has a reduced addiction liability.",attention-deficit hyperactivity disorder,1
34213723,"MP, a dopamine reuptake inhibitor, helps manage attention-deficit hyperactivity disorder (ADHD) and is abused as a cognitive enhancer; it has a reduced addiction liability.",MP,1
33914772,"Compared to healthy children, patients during periods of thyroid hormone elevation (74.29%) and normalized thyroid hormones (31.43%) had higher frequencies of behavioral abnormalities and scorings of total CBCL scale (P = 0.01; P = 0.04, respectively) and its subscales' [Anxious/Depressed (P = 0.02; P = 0.04), Withdrawn/Depressed (P = 0.03; P = 0.04) and Somatic Complaints (P = 0.03; P = 0.127) and Social (P = 0.01; P = 0.225), Thought (P = 0.01; P = 0.128) and Attention (P = 0.01; P = 0.01) problems], indicating internalizing and externalizing problems.",normalized thyroid hormones,1
